"id","x","y","px","py","n_local","P_climate","LST_climate","water_soil","NDVI_plant","soil_plant","climate_plant","climate_soil","sig.P_climate","sig.LST_climate","sig.water_soil","sig.NDVI_plant","sig.soil_plant","sig.climate_plant","sig.climate_soil"
1,99.048,26.2059,9151.48798984936,2897.586363,197,-0.103531249844682,1.47340810751673,-0.694300167384067,0.916729844368556,-0.138516152296525,0.386569518150345,0.556178933123107,0.00828267881172762,6.66133814775094e-16,0,0,0.225937855087157,0.000195932914545116,4.20397050504562e-12
2,99.0638,26.4155,9152.94782255915,2920.761835,213,-0.100464670435569,1.56393177902743,-0.67805811185282,0.918086439840099,-0.0799262311496539,0.345075972886429,0.524448317918118,0.00676945274493512,8.44324610227432e-12,0,0,0.465264503211295,0.000536555588429355,1.46070466833237e-09
3,99.4634,26.7375,9189.86865489038,2956.365375,229,-0.109497871552059,1.56128940241959,-0.621697762588566,0.918552038530363,-0.0194243783752608,0.333662565197923,0.533855521402019,0.00333370119835963,9.93649607039515e-13,0,0,0.857833910051853,0.00049430860942512,3.94270172066058e-10
4,99.4254,26.7926,9186.35766482885,2962.457782,235,-0.111831524531084,1.56627930292894,-0.615781357148757,0.919607786919525,-0.0152599380698523,0.334600396616554,0.531833589987767,0.00275613747853654,1.12132525487141e-12,0,0,0.88760410702416,0.000466838339752584,4.18209245012235e-10
5,99.2543,26.8812,9170.54897010445,2972.254284,241,-0.10576081905588,1.62719299146239,-0.631592164436615,0.918648506951438,-0.0426779716854485,0.321079922974835,0.508168183767447,0.00376307656740615,2.31589636356944e-10,0,0,0.685308926995303,0.000793155089548137,1.30652491048266e-08
6,99.6771,27.0101,9209.61335426272,2986.506757,237,-0.12537298948975,1.50427287473268,-0.574915215020995,0.921845353064804,0.0755522343502618,0.328985813881982,0.574410882432548,0.0013553716179433,6.66133814775094e-16,0,0,0.501321968388298,0.000560047659735385,3.65107943878229e-12
7,100.204,27.0902,9258.29600330007,2995.363414,224,-0.172923321228273,1.34246915040778,-0.477820384620705,0.935288973760764,0.37469483548582,0.271296107580966,0.678971714904616,0.000151553057244014,0,4.2188474935756e-15,0,0.00788264956354534,0.0196204132645368,0
8,100.593,27.1541,9294.23745419308,3002.428837,219,-0.162877649698976,1.34548170896459,-0.464147419776565,0.931496848475887,0.352190333146269,0.287741930167267,0.668642268792378,0.000397453646168389,0,7.50510764646606e-14,0,0.0111417927011055,0.0124253861423766,4.44089209850063e-16
9,100.659,27.1871,9300.33548956311,3006.077647,219,-0.165394009044376,1.36829639638696,-0.460888149707423,0.931513470333833,0.336709967444703,0.295114310183582,0.640077842006278,0.000340564597578918,0,8.43769498715119e-14,0,0.00848415872230746,0.00525918864424524,6.66133814775094e-15
10,99.2095,27.3288,9166.40969761085,3021.745416,270,-0.125635967636034,1.57078849850045,-0.592015505578638,0.931784317352995,-0.027419758122144,0.351020545238099,0.522565640451574,0.000887760082199485,2.31370478331883e-13,0,0,0.792394083293392,0.000197437383097077,1.26104460207443e-10
11,100.636,27.4026,9298.21041663113,3029.905482,231,-0.168964824902528,1.36675415526946,-0.432953618607731,0.931757492590587,0.381058035510018,0.264867171768202,0.669072661089352,0.00018232218421832,0,4.68070027181966e-12,0,0.00792830337224792,0.026087955382226,6.21724893790088e-15
12,100.953,27.7168,9327.4994653023,3064.646576,241,-0.168494315590218,1.37446944428288,-0.388791599910705,0.932776245983135,0.447430290561398,0.214420517871729,0.688950437148484,0.000153804352940545,0,1.42064027208733e-09,0,0.00715058207132846,0.127214906167447,1.50768286744096e-13
13,99.3718,27.8235,9181.40532095259,3076.444395,301,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,99.4806,27.8299,9191.4578398656,3077.152043,300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,86.8545,27.8401,8024.87595523757,3078.279857,423,-0.478404056653973,1.08628639202759,-0.8784353810131,1.07295172116394,-0.892710691172864,0.493080167255318,0.741580787320142,0,0,0,0,0,7.54951656745106e-15,0
16,101.124,27.8756,9343.29892057918,3082.205092,242,-0.169297618647213,1.38208119373257,-0.387984160022415,0.932731883247572,0.446731019182396,0.211927901460214,0.686178697776285,0.000142215277065594,0,1.5948473652827e-09,0,0.00720466665663766,0.130468110696649,3.11750625314744e-13
17,89.0316,27.8791,8226.02796742056,3082.592087,428,-0.411904140488222,1.12485849367518,-0.871749104986004,1.05076987573193,-0.844832385286259,0.502792926500815,0.690004573036863,0,0,0,0,0,0,0
18,99.2593,27.9802,9171.01094248096,3093.770714,319,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,99.0899,27.9945,9155.35931836457,3095.351865,325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,86.5233,28.0446,7994.27490501709,3100.891422,445,-0.459458921550216,1.1333149669526,-0.893661440629923,1.06993451219813,-0.8079348759782,0.395597397308157,0.687957020672507,0,0,0,0,0,8.88178419700125e-16,0
21,86.586,28.0466,8000.06803861861,3101.112562,445,-0.456985841575608,1.13235286754256,-0.890418604784382,1.06729927128606,-0.819427808111353,0.406673951643127,0.687152406700108,0,0,0,0,0,6.66133814775094e-16,0
22,92.3779,28.0467,8535.20760012827,3101.123619,456,-0.353796393705522,1.18660939581304,-0.873347977297212,0.996749639041523,-0.841404197861358,0.559562786495643,0.602380868069058,0,0,0,0,0,0,0
23,89.1575,28.0727,8237.66043186126,3103.998439,450,-0.423482428712361,1.12997141969073,-0.876284923678566,1.03656784622624,-0.874719291681801,0.54832817555168,0.680826437188696,0,0,0,0,0,0,0
24,92.2418,28.0885,8522.63271203948,3105.745445,466,-0.364626911100964,1.18715144559263,-0.877038015510473,0.997991979820285,-0.848241047658714,0.547623496495557,0.603773279023992,0,0,0,0,0,0,0
25,99.2208,28.091,9167.45375518178,3106.02187,330,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,88.5648,28.1226,8182.89822634895,3109.515882,449,-0.421577564397658,1.13478513185387,-0.874276126621353,1.05555010378094,-0.818236044133902,0.445985583839039,0.675964831343425,0,0,0,0,0,0,0
27,92.464,28.1585,8543.16276445189,3113.485345,471,-0.339346863686872,1.20813892837352,-0.873681210147815,0.995831304423847,-0.820501621205204,0.527220823461725,0.587524342448405,0,0,0,0,0,0,0
28,91.1033,28.1741,8417.44160190658,3115.210237,460,-0.443689693749833,1.12359671245897,-0.874476700472771,1.01777978650465,-0.908091957974416,0.591825079181485,0.6653771443296,0,0,0,0,0,0,0
29,92.4711,28.177,8543.81876522655,3115.53089,474,-0.336871145648781,1.2115013347315,-0.873623457701561,0.995781360931964,-0.817281072890073,0.522241598552429,0.584784443931273,0,0,0,0,0,0,0
30,98.9463,28.2133,9142.091471711,3119.544581,345,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
