"r","K_observed","K_expected","L"
927,NA,2699661.67341666,NA
928,NA,2705489.32778907,NA
929,NA,2711323.26534679,NA
930,NA,2717163.48608981,NA
931,NA,2723009.99001814,NA
932,NA,2728862.77713178,NA
933,NA,2734721.84743073,NA
934,NA,2740587.20091498,NA
935,NA,2746458.83758454,NA
936,NA,2752336.7574394,NA
937,NA,2758220.96047958,NA
938,NA,2764111.44670506,NA
939,NA,2770008.21611585,NA
940,NA,2775911.26871194,NA
941,NA,2781820.60449334,NA
942,NA,2787736.22346005,NA
943,NA,2793658.12561207,NA
944,NA,2799586.31094939,NA
945,NA,2805520.77947203,NA
946,NA,2811461.53117996,NA
947,NA,2817408.56607321,NA
948,NA,2823361.88415176,NA
949,NA,2829321.48541562,NA
950,NA,2835287.36986479,NA
951,NA,2841259.53749926,NA
952,NA,2847237.98831904,NA
953,NA,2853222.72232413,NA
954,NA,2859213.73951453,NA
955,NA,2865211.03989023,NA
956,NA,2871214.62345124,NA
957,NA,2877224.49019756,NA
958,NA,2883240.64012918,NA
959,NA,2889263.07324611,NA
960,NA,2895291.78954835,NA
961,NA,2901326.7890359,NA
962,NA,2907368.07170875,NA
963,NA,2913415.63756691,NA
964,NA,2919469.48661038,NA
965,NA,2925529.61883915,NA
966,NA,2931596.03425324,NA
967,NA,2937668.73285263,NA
968,NA,2943747.71463732,NA
969,NA,2949832.97960733,NA
970,NA,2955924.52776264,NA
971,NA,2962022.35910325,NA
972,NA,2968126.47362918,NA
973,NA,2974236.87134041,NA
974,NA,2980353.55223695,NA
975,NA,2986476.5163188,NA
976,NA,2992605.76358595,NA
977,NA,2998741.29403841,NA
978,NA,3004883.10767618,NA
979,NA,3011031.20449925,NA
980,NA,3017185.58450764,NA
981,NA,3023346.24770133,NA
982,NA,3029513.19408032,NA
983,NA,3035686.42364463,NA
984,NA,3041865.93639424,NA
985,NA,3048051.73232916,NA
986,NA,3054243.81144938,NA
987,NA,3060442.17375492,NA
988,NA,3066646.81924576,NA
989,NA,3072857.7479219,NA
990,NA,3079074.95978336,NA
991,NA,3085298.45483012,NA
992,NA,3091528.23306219,NA
993,NA,3097764.29447956,NA
994,NA,3104006.63908225,NA
995,NA,3110255.26687024,NA
996,NA,3116510.17784353,NA
997,NA,3122771.37200214,NA
998,NA,3129038.84934605,NA
999,NA,3135312.60987527,NA
1000,NA,3141592.65358979,NA
1001,NA,3147878.98048963,NA
1002,NA,3154171.59057477,NA
1003,NA,3160470.48384521,NA
1004,NA,3166775.66030097,NA
1005,NA,3173087.11994203,NA
1006,NA,3179404.8627684,NA
1007,NA,3185728.88878008,NA
