"lambda","path","n","n_kept","pct_kept","min","max"
"lambda1","Precipitation =~ Climate",1732,1732,100,-0.966547570433939,0.746593608494354
"lambda2","LST =~ Climate",1732,1212,69.9769053117783,-0.605182356727936,21.8024505826355
"lambda3","Water content =~ Soil",1475,1472,99.7966101694915,-1.3642653319779,0.430443572961397
"lambda4","NDVI =~ Plant",1801,1015,56.3575791227096,0.00352491484961587,10.3233862815478
"lambda5","Soil ~ Plant",1475,906,61.4237288135593,-543.918746329529,1564.69050886504
"lambda6","Climate ~ Plant",1732,1164,67.2055427251732,-647.693396351806,3910.1001984191
"lambda7","Climate ~ Soil",1473,1145,77.7325186693822,-135.305670253709,38.0763324414137
