"variable","n","mean","sd","min","max","role"
"EVI",1801,3.31340852712949e-16,1,-2.11022645695924,2.814345360043,"Plant indicator (reference)"
"NDVI",1801,2.57552015373898e-16,1,-1.59345999546941,2.8071032525383,"Plant indicator"
"LST",1801,1.73986311199447e-15,0.999999999999999,-2.61270319215998,2.6135979241968,"Climate indicator"
"P",1801,1.94057861272626e-16,1,-1.55461685031441,3.07217827890219,"Climate indicator"
"T",1801,-2.90840212669711e-16,1,-2.65710113453024,2.92676799393845,"Climate indicator (reference)"
"PH",1801,-4.48774215395399e-17,0.999999999999999,-2.7872086282865,2.0133400709204,"Soil indicator (reference)"
"watercontent",1801,-3.05511677403791e-16,1,-1.64999966142885,2.64432944840362,"Soil indicator"
