"id","n_local","converged","note","neighbours_at_radius"
1183,791,TRUE,"",791
1184,730,TRUE,"",730
1185,658,TRUE,"",658
1186,830,TRUE,"",830
1187,568,TRUE,"",568
1188,301,TRUE,"",301
1189,542,TRUE,"",542
1190,827,TRUE,"",827
1191,563,TRUE,"",563
1192,489,TRUE,"",489
1193,689,TRUE,"",689
1194,436,TRUE,"",436
1195,806,TRUE,"",806
1196,574,TRUE,"",574
1197,782,TRUE,"",782
1198,639,TRUE,"",639
1199,466,TRUE,"",466
1200,271,TRUE,"",271
1201,759,TRUE,"",759
1202,338,TRUE,"",338
1203,659,FALSE,"not converged",659
1204,310,TRUE,"",310
1205,805,TRUE,"",805
1206,524,TRUE,"",524
1207,607,TRUE,"",607
1208,301,TRUE,"",301
1209,810,TRUE,"",810
1210,573,TRUE,"",573
1211,213,TRUE,"",213
1212,346,TRUE,"",346
1213,736,TRUE,"",736
1214,490,TRUE,"",490
1215,803,TRUE,"",803
1216,469,TRUE,"",469
1217,284,TRUE,"",284
1218,342,TRUE,"",342
1219,818,TRUE,"",818
1220,417,TRUE,"",417
1221,534,TRUE,"",534
1222,636,TRUE,"",636
1223,246,TRUE,"",246
1224,523,TRUE,"",523
1225,770,TRUE,"",770
1226,787,TRUE,"",787
1227,802,TRUE,"",802
1228,634,TRUE,"",634
1229,601,TRUE,"",601
1230,762,TRUE,"",762
1231,234,TRUE,"",234
1232,663,TRUE,"",663
1233,441,TRUE,"",441
1234,780,TRUE,"",780
1235,288,TRUE,"",288
1236,550,TRUE,"",550
1237,783,TRUE,"",783
1238,717,TRUE,"",717
1239,241,TRUE,"",241
1240,213,TRUE,"",213
1241,810,TRUE,"",810
1242,779,TRUE,"",779
1243,713,TRUE,"",713
1244,346,TRUE,"",346
1245,685,TRUE,"",685
1246,764,TRUE,"",764
1247,455,TRUE,"",455
1248,496,TRUE,"",496
1249,752,TRUE,"",752
1250,757,TRUE,"",757
1251,752,TRUE,"",752
1252,313,TRUE,"",313
1253,788,TRUE,"",788
1254,271,TRUE,"",271
1255,678,TRUE,"",678
1256,341,TRUE,"",341
1257,708,TRUE,"",708
1258,546,TRUE,"",546
1259,611,TRUE,"",611
1260,773,TRUE,"",773
1261,801,TRUE,"",801
1262,521,TRUE,"",521
1263,237,TRUE,"",237
1264,758,TRUE,"",758
1265,774,TRUE,"",774
1266,792,TRUE,"",792
1267,552,TRUE,"",552
1268,542,TRUE,"",542
1269,756,TRUE,"",756
1270,757,TRUE,"",757
1271,623,TRUE,"",623
1272,550,TRUE,"",550
1273,463,TRUE,"",463
1274,565,TRUE,"",565
1275,557,TRUE,"",557
1276,783,TRUE,"",783
1277,744,TRUE,"",744
1278,623,TRUE,"",623
1279,326,TRUE,"",326
1280,772,TRUE,"",772
1281,754,TRUE,"",754
1282,530,TRUE,"",530
1283,678,TRUE,"",678
1284,790,TRUE,"",790
1285,657,TRUE,"",657
1286,787,TRUE,"",787
1287,791,TRUE,"",791
1288,742,TRUE,"",742
1289,705,TRUE,"",705
1290,703,TRUE,"",703
1291,641,TRUE,"",641
1292,379,TRUE,"",379
1293,787,TRUE,"",787
1294,509,TRUE,"",509
1295,244,TRUE,"",244
1296,271,TRUE,"",271
1297,680,FALSE,"not converged",680
1298,619,TRUE,"",619
1299,665,TRUE,"",665
1300,794,TRUE,"",794
1301,335,TRUE,"",335
1302,559,TRUE,"",559
1303,628,FALSE,"not converged",628
1304,801,TRUE,"",801
1305,757,TRUE,"",757
1306,438,TRUE,"",438
1307,545,TRUE,"",545
1308,298,TRUE,"",298
1309,690,TRUE,"",690
1310,781,TRUE,"",781
1311,784,TRUE,"",784
1312,671,TRUE,"",671
1313,638,TRUE,"",638
1314,325,TRUE,"",325
1315,625,FALSE,"not converged",625
1316,325,TRUE,"",325
1317,587,TRUE,"",587
1318,323,TRUE,"",323
1319,472,TRUE,"",472
1320,621,FALSE,"not converged",621
1321,730,TRUE,"",730
1322,651,TRUE,"",651
1323,414,TRUE,"",414
1324,630,TRUE,"",630
1325,334,TRUE,"",334
1326,785,TRUE,"",785
1327,511,TRUE,"",511
1328,601,TRUE,"",601
1329,297,TRUE,"",297
1330,770,TRUE,"",770
1331,741,TRUE,"",741
1332,611,FALSE,"not converged",611
1333,784,TRUE,"",784
1334,545,TRUE,"",545
1335,747,TRUE,"",747
1336,343,TRUE,"",343
1337,771,TRUE,"",771
1338,549,TRUE,"",549
1339,643,TRUE,"",643
1340,238,TRUE,"",238
1341,687,TRUE,"",687
1342,545,TRUE,"",545
1343,491,TRUE,"",491
1344,542,TRUE,"",542
1345,609,FALSE,"not converged",609
1346,375,TRUE,"",375
1347,301,TRUE,"",301
1348,770,TRUE,"",770
1349,742,TRUE,"",742
1350,462,TRUE,"",462
1351,468,TRUE,"",468
1352,692,TRUE,"",692
1353,768,TRUE,"",768
1354,620,TRUE,"",620
1355,238,TRUE,"",238
1356,636,TRUE,"",636
1357,775,TRUE,"",775
1358,772,TRUE,"",772
1359,284,TRUE,"",284
1360,619,TRUE,"",619
1361,728,TRUE,"",728
1362,664,TRUE,"",664
1363,719,TRUE,"",719
1364,775,TRUE,"",775
1365,594,FALSE,"not converged",594
1366,576,TRUE,"",576
1367,442,TRUE,"",442
1368,528,TRUE,"",528
1369,268,TRUE,"",268
1370,768,TRUE,"",768
1371,372,TRUE,"",372
1372,499,TRUE,"",499
1373,479,TRUE,"",479
1374,239,TRUE,"",239
1375,456,TRUE,"",456
1376,745,TRUE,"",745
1377,311,TRUE,"",311
1378,720,TRUE,"",720
1379,608,TRUE,"",608
1380,323,TRUE,"",323
