lon,lat,y,residual,Temperature,Shortwave radiation,soil-depth,Wind speed,Soil bulk density,Soil C,Soil N,Soil P,Soil pH,Soil CEC,Soil sand,Soil clay,Distance to manmade land,Distance to water,Slope,cos(Aspect),sin(Aspect),Elevation,Precipitation
115.33249,-23.988663,11.2,-7.213582289,25.500493,271.3106673,0.292113888,6.568617821,1.53411508,0.326558723,0.099640084,0.134718665,6.095732665,3.140908333,82.17343056,10.42754167,693.2250435,66.63002645,0.156791846,0.087354193,0.052666159,250.9090909,2205.812115
115.33249,-24.988663,32.01,11.28526173,25.16207336,269.4359777,1.016541932,6.622909386,1.555178895,0.289243981,0.080118247,0.12031062,6.007810977,4.141063505,83.87075847,9.353845128,588.7850057,18.86373208,0.171591177,-0.05707791,0.00322474,186.1727273,2077.889117
115.33249,-28.988663,31.72,1.068670742,20.24519134,255.9491522,1.084425583,7.07759855,1.500431056,0.88608386,0.063875805,0.09054339,5.35928197,4.489677778,87.20878611,7.906080556,102.3962163,21.18181154,0.279639097,0.025186167,0.034920778,222.1818182,4010.254114
115.33249,-29.488663,30.1,-1.417530137,20.14480609,253.341674,0.98245502,7.080569311,1.493772093,1.009731469,0.065964968,0.079292949,5.334010665,3.11871319,92.37334148,4.424333259,84.91569618,42.40251863,0.353928034,0.020153877,-0.023455421,176.2181818,4200.726761
115.33249,-34.488663,30.52,-10.59484636,16.38179833,214.6720419,1.300968501,8.158033371,1.280174235,4.074783702,0.249988273,0.123766072,5.246770111,11.8523575,93.53284172,4.222772942,19.31443654,14.91480774,0.133364141,-0.508145678,0.070175737,35.25,10474.13675
115.83249,-21.488663,16.37,-5.369294846,27.09175134,271.2452779,1.289813767,6.016391965,1.449269137,0.556390148,0.162237542,0.169352228,6.35366642,2.020726506,70.3856569,18.22056651,85.6704833,30.94625363,0.143283325,-0.050750061,-0.010311929,46.03191489,2778.200253
115.83249,-26.988663,27.67,7.685432854,23.09907265,264.7967823,0.426900527,6.923070539,1.517261372,0.522778776,0.046362583,0.11892772,5.574649303,6.619777778,79.58876111,12.81408611,659.5515005,20.95973948,0.180571014,-0.087805144,-0.089750812,301.89,1874.927694
115.83249,-29.488663,33.4,3.870454214,19.91918251,254.6598967,0.690317172,6.94941059,1.496530438,1.001071276,0.071039368,0.115074031,5.478415292,6.219522593,83.30624726,10.5152208,59.88392624,4.904598357,0.169793368,-0.01166435,-0.053036755,279.48,3428.500565
115.83249,-34.488663,28.54,-13.27376519,15.73635885,215.0257731,1.117403017,7.893616332,1.24307913,4.472303458,0.239759617,0.11341778,5.09739306,12.74087361,88.62202239,6.436290095,44.97021063,27.7372624,0.315499177,-0.024978414,0.027822944,112.9102564,11585.39143
116.33249,-26.988663,24.8,5.367086611,23.25944595,265.2044905,0.343356027,6.880170402,1.528464751,0.519498192,0.045553222,0.127061553,5.791535527,7.250586111,79.77680833,12.6147,675.1647816,27.00106988,0.126048384,0.053980303,-0.010638041,317.64,2044.659656
116.33249,-30.488663,32.32,2.792308125,18.90847993,249.7014263,0.583787378,6.843993486,1.473934323,1.319801301,0.089210508,0.108344856,5.376461917,6.131659674,84.5690322,9.543402151,150.9599512,9.39432057,0.153926644,-0.05890352,0.012518826,294.0636364,3721.687879
116.33249,-32.988663,19.23,-25.3968688,16.336088,232.432759,0.792182035,7.043993816,1.348171439,3.840470522,0.205269415,0.181378513,5.298353728,9.066795149,86.71942021,7.478303789,82.23380155,46.3221567,0.207259157,0.233836958,0.059462404,286.66,8451.687625
116.83249,-22.988663,94.18,78.34801441,27.0893334,268.4612147,0.32238016,5.855415146,1.460144496,0.593185031,0.109136608,0.131710182,6.101839744,5.642412781,75.48382441,15.01941405,368.7864347,38.36390413,0.381710863,-0.044741657,-0.081685721,295.5272727,3183.471721
116.83249,-23.488663,33.3,17.48928878,26.74195063,268.4921345,0.289524788,6.150564098,1.456014052,0.521274991,0.109067614,0.123759895,5.983398822,5.915693218,77.04994422,13.84482044,378.5853179,87.10963896,0.279832671,0.104462293,-0.048217487,330.7272727,2631.930921
116.83249,-25.988663,23.88,5.610439715,24.2466231,266.8139121,0.300661388,6.769681189,1.539114741,0.433095945,0.045395389,0.127549581,5.646992138,6.90075,79.65308611,12.64299722,744.1254279,53.21089039,0.108145237,-0.03000762,0.021844179,362.4,2149.450652
116.83249,-27.988663,14,-8.299378895,21.8432787,261.9128082,0.097872694,6.991061805,1.509723074,0.638971666,0.051070666,0.120629692,5.510508082,7.162588889,80.38532778,12.03389444,434.7787716,72.3414795,0.184915185,-0.015695363,0.02299653,416.6636364,2487.081338
116.83249,-28.988663,38.53,15.61297406,21.2161528,257.3342173,0.40320461,6.888051961,1.443878239,0.949007138,0.058696055,0.105231862,5.1788635,7.286194444,79.00794444,12.84751389,307.1522425,31.61836305,0.188165943,-0.079188536,0.067094968,357.5123967,2868.557002
116.83249,-30.488663,31.22,3.299351784,19.08536339,250.7539069,0.645844531,6.846751157,1.476169243,1.035503362,0.077019766,0.108251041,5.372565389,5.822398825,85.21916718,9.172282364,186.9798297,5.29598134,0.154092062,0.174384815,-0.028599714,315.5619835,3595.181549
116.83249,-31.988663,47.8,12.22757009,17.60862436,240.6109408,0.661003249,6.756063128,1.452429739,2.109932273,0.13344508,0.106662565,5.130210406,7.942352353,86.58400189,8.121548419,58.56842211,84.02580671,0.234789584,-0.062820923,-0.029552833,261.8636364,4687.871791
116.83249,-33.488663,60.42,21.86042852,15.81483302,230.793265,0.697176655,6.97404737,1.418565268,2.547904015,0.161296352,0.183513205,4.987076394,8.222990238,88.06392651,7.113175389,90.92151951,28.81185985,0.164037116,-0.053274041,0.008533746,272.8181818,5861.497887
116.83249,-33.988663,38.58,-0.159943339,15.24017295,224.7520653,0.610360804,7.112191264,1.387830934,3.11290114,0.186494028,0.170492528,5.010978138,10.05501667,86.30215278,8.116786111,137.8541766,64.85401377,0.16383249,-0.086293586,0.061812949,278.9008264,6849.359131
