"Lon","Lat","Zn","Elevation","Slope","Aspect","Water","NDVI","SOC","pH","Road","Mine"
120.1952,-28.4113,26,463.8031,0.2492,23.1063,0.0574,0.1727,0.866716383,5.9675302,35.0454,47.2571
120.1973,-27.6333,13,508.1617,0.2494,128.1103,3.0076,0.1916,0.900378789,5.91740399,14.2199,34.2631
120.1977,-28.1106,12,468.0207,0.3518,244.5647,0.0345,0.1545,0.850537762,5.831506993,16.8661,17.956
120.1998,-27.7556,15,499.0622,0.2687,291.5452,0.0048,0.2024,0.854404136,5.904192762,15.7433,21.0443
120.2016,-27.3841,23.5,499.9209,0.2425,127.9085,1.0991,0.1756,0.894479914,5.634957602,10.3416,34.0836
120.2054,-27.7243,16,496.5676,0.36,277.1208,0.8088,0.1866,0.881427742,5.968883703,14.8355,24.5701
120.2059,-28.44,16,479.8428,0.374,47.1124,0.0472,0.1704,0.826567731,5.708483782,32.9648,48.7658
120.2063,-27.699,18,495.8336,0.308,268.3713,0.2654,0.198,0.871659564,5.957325892,14.2858,27.3201
120.2064,-28.0124,16,467.8564,0.2559,238.5113,4e-04,0.1816,0.873027241,5.829742336,6.1546,7.401
120.2067,-28.1609,24,447.7058,0.2838,177.0045,0.0844,0.1756,0.947525004,5.781939434,22.0614,22.4753
120.2091,-27.8517,15,492.8544,0.2756,271.2498,0.0175,0.1872,0.837403516,5.973753535,10.9749,11.1691
120.2104,-27.5982,21,522.1313,0.2983,170.4548,0.1372,0.191,0.855276007,5.781613673,17.3062,36.7113
120.211,-27.3419,20,482.5957,0.0664,329.4681,0.0259,0.187,0.818555176,5.622310477,6.5793,32.0326
120.2114,-27.3934,8,499.1829,0.3101,47.9401,3.5362,0.1727,0.900338114,5.766932074,11.6356,32.4852
120.212,-27.4818,16,511.0793,0.2912,108.9943,0.0511,0.1995,0.936780093,5.703688578,19.8207,34.6833
120.2125,-28.0684,16,471.6362,0.2097,322.107,0.3109,0.1763,0.891489616,5.847373591,11.9029,13.1588
120.2132,-28.3141,32,421.5724,0.2094,22.8488,2.9459,0.1741,0.889615271,5.829582318,28.2939,38.3621
120.2139,-27.9489,9,479.7019,0.2422,265.9933,0.0035,0.1792,0.871876544,5.938735988,0.8386,3.2294
120.2144,-27.9251,49,481.7675,0.3016,256.0626,0.1305,0.1744,0.851877376,5.946330718,3.3815,4.247
120.2163,-28.2404,26,416.4955,0.1846,168.2933,1.233,0.1813,0.954357511,5.687000217,25.1924,30.5389
120.2164,-28.3492,16,433.0244,0.2351,36.0868,0.1132,0.1956,0.888842505,5.984710222,30.0076,40.7386
120.2188,-27.8163,26,508.3111,0.3791,208.6613,0.1028,0.1725,0.785233635,5.759061132,15.0464,15.243
120.2235,-27.8599,43,498.8332,0.3449,269.2065,0.2061,0.1587,0.814371439,5.892827949,10.584,10.812
120.224,-28.359,34,436.3706,0.2516,26.655,0.0954,0.1919,0.880022305,5.910833733,29.9669,40.9346
120.2252,-28.2733,69,409.2406,0.0325,146.6949,0.0685,0.1793,0.916133357,5.928905197,25.2316,33.8941
120.23,-28.0805,20,479.1704,0.2468,320.1071,0.111,0.1764,0.895895646,5.77820311,12.8421,13.2781
120.2308,-28.3522,28,430.6607,0.2715,38.0528,0.0666,0.1928,0.90597264,5.90778432,28.9105,39.8685
120.2335,-28.3072,22,415.363,0.2261,31.3795,2.6325,0.1806,0.946865662,5.674535145,25.9415,36.1566
120.2373,-27.8865,8,502.5697,0.4501,240.4193,0.0266,0.1431,0.80427512,5.883969124,8.219,9.0889
120.2374,-27.5113,16,501.8485,0.2717,70.4107,3.1113,0.1932,0.912327616,5.852237879,23.9437,32.8475
120.2376,-27.3068,32,481.2926,0.0649,188.2769,0,0.1668,0.831128252,5.836664811,2.1681,29.3572
120.2382,-27.932,54,498.9958,0.1752,235.2584,0.3674,0.1648,0.744543804,5.877382783,3.4102,6.2312
120.2388,-27.721,14.5,498.6534,0.388,190.1808,0.0203,0.1583,0.805261199,5.85046946,10.2074,18.2166
120.2405,-28.4057,18,449.7804,0.2853,52.5918,0.0198,0.1775,0.849805755,5.815616344,30.5927,43.3723
120.241,-27.7804,22,530.0051,0.5435,75.2736,0.1452,0.1956,0.885084388,5.587318577,19.5897,19.7638
120.2418,-28.1472,8,458.2655,0.2838,217.4007,0.1532,0.182,0.895724803,5.835672994,19.9911,19.8181
120.2431,-28.0783,20,481.9969,0.2842,312.3194,1.3196,0.1767,0.896648151,5.898981399,12.412,12.4578
120.2436,-27.6368,19,521.1275,0.4944,273.6633,3.6322,0.1788,0.943117629,5.628269336,18.9713,33.3985
120.2437,-27.5926,13,527.243,0.3718,220.4937,2.2575,0.172,0.91206022,5.740488927,20.8162,32.9716
120.2443,-28.0307,8,485.8264,0.3137,248.724,0.0391,0.181,0.88310567,5.92884338,7.1596,7.7042
120.245,-27.6679,20,518.2106,0.1544,155.8051,2.9001,0.1751,0.904868386,5.880400102,18.5223,31.7775
120.246,-27.9619,6,496.9596,0.3105,266.289,0.0027,0.1628,0.838129647,5.958510296,0.4369,4.3912
120.2475,-28.2611,10,411.4276,0.1092,159.2603,0.8688,0.1782,0.933507263,5.78958397,22.4454,31.7116
120.2479,-27.857,13,519.0223,0.3785,268.0347,0.0132,0.1693,0.76215075,5.55286497,11.6966,12.4148
120.2481,-28.131,8,467.4759,0.274,214.8562,0.0324,0.1747,0.896949939,5.824452182,18.0859,17.9112
120.2483,-28.2412,22,415.894,0.194,179.4426,2.0196,0.1828,0.924073016,5.787775697,21.7425,29.9604
120.2491,-28.0551,26,482.7871,0.2891,256.2992,1.5595,0.1823,0.89911165,5.894880118,9.7739,9.8239
120.2492,-27.4244,28,495.7413,0.5015,82.0828,0.0913,0.1723,0.809312947,5.853577869,14.4189,29.229
120.2518,-27.9075,22,500.5791,0.3324,252.9953,0.1543,0.1534,0.859099471,5.966904054,6.454,8.1581
120.2535,-27.8205,15,512.1902,0.1522,247.0493,0.0244,0.1678,0.86722008,5.697788246,15.7533,16.2085
120.2564,-27.3479,19,485.8193,0.2814,86.0892,0.0747,0.1653,0.891564019,5.653041138,5.9654,27.0011
120.2578,-28.3801,36,435.4955,0.2007,40.876,1.4808,0.1847,0.875944663,5.874624372,28.707,39.971
120.2581,-27.7535,18,519.5567,0.3595,117.1736,0.159,0.1825,0.837541752,5.788355968,21.4398,23.2144
120.2586,-28.4364,20,461.1807,0.2512,15.6535,0.1108,0.1564,0.856872671,5.716194351,27.4829,44.7869
120.2587,-28.2015,28,432.2962,0.2336,183.3619,2.9372,0.1853,0.903977247,5.806493002,19.9697,25.4472
120.2641,-27.5559,20,523.1427,0.4128,316.3923,0.189,0.1808,0.854406723,5.61253675,24.8692,30.6498
120.2651,-27.9359,15,515.4542,0.6975,264.905,0.0363,0.1489,0.788076874,5.639591324,3.5747,4.6781
120.2665,-27.6958,29,507.3076,0.3561,65.9196,0.2446,0.1881,0.899306853,5.828119222,20.9024,29.5705
120.2689,-27.2947,34,482.7097,0.0777,187.7043,1.8138,0.1905,0.800843672,5.883309428,0.0714,26.163
120.2703,-27.3852,25,479.4235,0.1122,107.4765,0.8696,0.2049,0.871360955,5.724982974,9.8173,25.8886
120.274,-27.4599,19,484.3538,0.2189,83.7214,3.0147,0.1882,0.910299369,5.851926308,18.0874,27.4581
120.2745,-27.5639,14,497.5945,0.2193,189.6198,1.2587,0.1695,0.935936011,5.73530541,12.4444,22.7903
120.2756,-28.3294,18,415.5203,0.2351,16.8658,2.218,0.1904,0.932792589,5.769272507,23.4378,34.5203
120.2779,-27.4933,11,487.7091,0.1886,31.0434,4.9641,0.1708,0.890027117,5.909573688,21.7901,27.9511
120.2819,-28.374,24,429.4975,0.2062,38.7071,0.0234,0.1909,0.888367925,6.000266192,26.3853,37.7166
120.2845,-27.5303,26,505.087,0.2906,313.1802,2.6653,0.167,0.916509234,5.768179559,25.9023,28.1359
120.2859,-27.9888,8,524.4363,0.4494,47.9324,0.5099,0.1554,0.707313509,5.588662108,1.8351,1.695
120.2866,-28.2374,24,413.585,0.1852,169.264,2.4101,0.1882,0.929767924,5.76508167,17.5166,26.665
120.2891,-28.1659,10,452.6264,0.3905,173.0193,0.1268,0.1943,0.865883391,5.706845729,16.7926,21.3418
120.2896,-28.4408,26,449.8645,0.2335,46.8448,0.0458,0.1815,0.866771566,5.926130717,24.0721,43.2639
120.2926,-27.91,16.5,459.5504,0.167,98.3993,0.0132,0.1719,0.911080508,5.791056216,17.9598,32.5176
120.2939,-28.188,30,441.6888,0.2774,173.6058,1.9711,0.1879,0.869806244,5.781159629,16.0358,22.9789
120.2946,-27.9971,10,518.4697,0.61,101.2063,0.3295,0.1616,0.74365077,5.563445261,2.759,2.859
120.2951,-27.8656,25,533.7843,0.3847,124.7813,0.0475,0.2145,0.876701219,5.636579291,11.7766,11.8165
120.2965,-28.277,13,410.0368,0.0497,132.6358,0.6898,0.1942,0.944282416,5.845871858,18.2088,28.7972
120.2976,-28.2993,16,405.9172,0.032,191.1933,0,0.1565,0.990636288,5.883116384,19.4647,30.4483
120.2993,-27.6522,20,509.2186,0.412,155.1676,0.184,0.1872,0.880620735,5.601492196,24.7011,26.9849
120.2996,-28.0596,20,488.6583,0.2437,108.9277,0.0464,0.2127,0.886695851,5.768060185,9.6985,9.6969
120.3011,-27.9725,41,536.6069,0.7797,227.3869,0.288,0.1534,0.783391257,5.427637297,0.0365,1.0563
120.3019,-27.3152,19,480.6806,0.0654,161.2692,2.6883,0.1917,0.834521201,5.997010072,2.0698,22.1618
120.302,-28.1393,8,475.474,0.6678,130.1307,0.1177,0.1579,0.778902315,5.426037766,15.9256,18.5
120.3035,-27.6201,8,525.2632,0.7111,101.7285,0.3082,0.1485,0.796191162,5.497801506,25.8743,26.8254
120.3079,-27.3657,35,477.5708,0.0166,157.7339,0.7761,0.1883,0.78425776,5.830282239,7.7165,21.4269
120.3095,-27.7417,11,497.3206,0.2287,90.2277,0.0326,0.1889,0.845994219,5.948638291,25.006,24.9578
120.3101,-28.4571,26,449.8378,0.1573,57.423,0.5552,0.1924,0.884261511,5.997394511,21.3244,43.6826
120.3106,-28.0936,10,489.8445,0.2868,92.8432,0.0267,0.1753,0.853502298,5.652171733,13.4212,13.6193
120.3112,-28.0234,20,498.8293,0.3052,133.2972,1.1105,0.1875,0.854912828,5.803925071,5.6257,5.8231
120.3114,-27.8958,21,524.9085,0.2966,100.2849,0.1166,0.1758,0.836373573,5.790067246,8.5281,8.3448
120.3127,-27.6105,17,519.5288,0.4212,106.855,0.0271,0.166,0.83637326,5.64112877,24.7838,25.6176
120.3136,-27.8124,43,510.3459,0.2285,83.8187,0.1125,0.1678,0.853981633,5.800501623,17.7825,17.6006
120.3148,-27.9911,12,517.4954,0.5729,190.9606,0.0171,0.1644,0.841426911,5.538041788,2.0379,2.2896
120.3153,-27.7772,15,498.2648,0.182,207.5199,0.1764,0.1606,0.907787339,5.83015012,21.6127,21.5144
120.3234,-28.2889,8,406.6791,0.0581,140.3987,0,0.1665,0.988662463,5.823364741,16.4846,27.5924
120.3243,-27.5479,7,505.7178,0.1964,40.9478,0.0863,0.1761,0.900123376,5.857998822,22.2408,24.0432
120.3253,-28.3964,14,433.1697,0.2338,307.3568,0.0145,0.1732,0.912755696,5.924014479,22.8672,36.9882
120.3258,-27.643,21,497.42,0.2396,113.4512,1.7548,0.1777,0.845140969,5.855954797,23.4995,23.5761
120.3267,-28.1835,32,437.2828,0.2807,163.2954,0.0122,0.1918,0.902835916,5.845631442,12.4259,19.5807
120.327,-27.459,19,476.4375,0.0911,132.0068,0.0016,0.1591,0.87311711,5.887262283,17.9577,21.679
120.3312,-28.0338,22,490.931,0.2266,146.5221,0.0867,0.1894,0.835443874,5.934970037,6.8176,7.3495
120.3317,-27.6396,36,506.3212,0.2534,111.5332,0.049,0.1875,0.859916035,5.788106701,23.5509,24.0241
120.3326,-27.3406,12,482.4161,0.1987,245.3195,2.4879,0.1794,0.826632853,6.005466966,4.9305,18.5353
