"GridID","Lon","Lat","Elevation","Slope","Aspect","Water","NDVI","SOC","pH","Road","Mine"
1,120.454885919,-28.5114912415,440.9040292,0.283920057,345.6326498,0.116809133621,0.18745,0.952865239,5.833376729,4.26218914395,40.5414343309
2,120.463894928,-28.5114912415,442.2962241,0.346970045,346.1699764,0.0542854639235,0.18677,0.93398673,5.781388915,3.27113539205,39.6916254591
3,120.472903937,-28.5114912415,443.3909952,0.342644862,216.6209008,0.285480365277,0.19396,0.914707106,5.831251058,2.28788050463,38.848968655
4,120.481912946,-28.5114912415,442.7592651,0.268844682,12.68142113,0.517779477178,0.19755,0.924044529,5.861375644,1.32983745238,38.0139395422
5,120.490921955,-28.5114912415,441.6406134,0.277128115,151.2274667,0.335940363322,0.19286,0.946676483,5.852014322,0.550034628072,37.1870519601
6,120.499930964,-28.5114912415,441.9625138,0.293627912,354.6393725,0.719173051493,0.18354,0.950839189,5.857482263,0.914663069329,36.3688612338
7,120.508939973,-28.5114912415,442.4533422,0.274628246,350.0312382,0.00670935486222,0.17658,0.934138235,5.876724634,1.83594089358,35.5599676799
8,120.517948982,-28.5114912415,443.3770881,0.268354343,341.1116138,0.308255414192,0.1701,0.910311612,5.897840622,2.81153861702,34.7610203438
9,120.526957991,-28.5114912415,445.0627086,0.278046405,335.3514946,0.26318342367,0.16539,0.899532109,5.898570826,3.79984471016,33.972720958
10,120.535967,-28.5114912415,446.8585528,0.337958375,208.9628497,0.560011424936,0.16185,0.881764872,5.851755036,4.79300430249,33.1958280998
11,120.544976009,-28.5114912415,444.6245747,0.42583643,40.18251116,0.0295957571848,0.16127,0.874359747,5.77193373,5.78851972977,32.4311615144
12,120.553985018,-28.5114912415,438.6527555,0.434470835,62.13743056,0.166287040586,0.16444,0.890734505,5.742311761,6.78535415997,31.6796065491
13,120.562994027,-28.5114912415,433.0211721,0.340877823,63.72307691,0.565081426437,0.17463,0.912150431,5.807934417,7.78300080217,30.9421186255
14,120.572003036,-28.5114912415,429.3310528,0.231965178,52.99667289,0.238566723469,0.18735,0.921271082,5.875042035,8.78118282994,30.2197276454
15,120.581012045,-28.5114912415,427.3312549,0.17001208,46.26717334,0.567088022392,0.19361,0.934732405,5.88660524,9.77973631011,29.5135421948
16,120.590021054,-28.5114912415,426.9367087,0.173491205,178.8742271,0.332443273048,0.1938,0.952522769,5.946301081,10.7785580062,28.8247533693
17,120.599030063,-28.5114912415,427.6493076,0.214364825,343.925132,1.21985659188,0.19638,0.955599286,5.980776024,11.7775796787,28.1546379965
18,120.608039072,-28.5114912415,428.7621472,0.242927502,342.1478537,0.870187206844,0.19745,0.968488927,5.886556517,12.7767544188,27.5045609786
19,120.617048081,-28.5114912415,429.9167351,0.254445915,338.1374626,0.100174354175,0.2086,0.958859633,5.779513533,13.7760489207,26.8759764201
20,120.454885919,-28.5024822325,436.5130834,0.233029777,165.163369,0.341890558229,0.19947,0.952066791,5.887003105,4.49029857187,40.029002761
21,120.463894928,-28.5024822325,436.8740045,0.293126783,353.1053229,0.256252780287,0.20173,0.95300562,5.830803978,3.56326419437,39.1680775123
22,120.472903937,-28.5024822325,437.625073,0.316670135,336.8194462,0.743743810158,0.20442,0.941614976,5.847468789,2.68903740569,38.3139077879
23,120.481912946,-28.5024822325,437.9493793,0.275459526,193.059004,0.899406267082,0.20157,0.945458603,5.871469673,1.94035888832,37.4669556269
24,120.490921955,-28.5024822325,437.3196872,0.236412331,149.6393993,0.408439626955,0.19973,0.96144126,5.854618497,1.51626615665,36.6277217133
25,120.499930964,-28.5024822325,437.3954547,0.24770798,352.8612905,0.42284280167,0.19266,0.959072014,5.860601186,1.68319146152,35.7967489008
26,120.508939973,-28.5024822325,438.247851,0.249920701,346.4476532,0.565468570298,0.18284,0.947105873,5.878543392,2.31672267016,34.9746260283
27,120.517948982,-28.5024822325,439.1776526,0.253116307,336.867703,0.174292529134,0.18283,0.930465293,5.87468653,3.14662904721,34.1619920346
28,120.526957991,-28.5024822325,441.2115074,0.212120671,330.7687315,0.239661122611,0.17862,0.920998367,5.86393113,4.0540528841,33.3595403703
29,120.535967,-28.5024822325,442.4092765,0.230413868,214.4216599,0.800421698254,0.17128,0.911304611,5.86396446,4.99694058494,32.568023699
30,120.544976009,-28.5024822325,439.4612915,0.363209679,45.46036365,0.486517911346,0.16965,0.906113385,5.842911444,5.95848014411,31.7882588639
31,120.553985018,-28.5024822325,434.5634286,0.380707058,52.51459819,0.269848904207,0.1673,0.912263231,5.792293036,6.93091307419,31.0211320801
32,120.562994027,-28.5024822325,430.2902749,0.319164669,52.24260682,0.00527676854451,0.16951,0.92759939,5.821830523,7.91022290788,30.2676042901
33,120.572003036,-28.5024822325,426.8932909,0.238548348,46.78214538,0.612311323479,0.17958,0.935832272,5.879104719,8.89413834268,29.5287165889
34,120.581012045,-28.5024822325,424.9483569,0.168530872,31.09307432,0.469724007139,0.18988,0.932172749,5.884392551,9.88128368487,28.8055955903
35,120.590021054,-28.5024822325,424.2118029,0.15128517,29.34126685,0.107327201094,0.19232,0.946121048,5.93218121,10.8707790732,28.0994585576
36,120.599030063,-28.5024822325,424.2501805,0.181047919,175.4230034,1.05392462759,0.19353,0.955264826,5.969295752,11.862036421,27.4116180687
37,120.608039072,-28.5024822325,424.9537093,0.215577102,342.0932993,0.229165074469,0.20172,0.960935938,5.906325258,12.854648126,26.7434859181
38,120.617048081,-28.5024822325,426.2689334,0.229672834,336.4773958,0.189376132815,0.21375,0.954027555,5.827318119,13.8483229609,26.0965758857
39,120.454885919,-28.4934732235,432.9074691,0.20134932,29.57469319,1.21857028376,0.20599,0.949177706,5.912493417,4.91521171734,39.5352276642
40,120.463894928,-28.4934732235,432.2801775,0.244029693,171.3332957,0.768697016652,0.20173,0.956716588,5.900800871,4.0857528903,38.663308969
41,120.472903937,-28.4934732235,432.5660128,0.268423399,352.6643717,1.03776153664,0.20361,0.960986055,5.928028548,3.35073829639,37.797733985
42,120.481912946,-28.4934732235,433.3276701,0.252621082,335.8492877,1.59477064511,0.20067,0.956702379,5.945053061,2.78595003136,36.9389486636
43,120.490921955,-28.4934732235,433.5699456,0.219443085,205.296197,1.3788209859,0.19785,0.950374233,5.927626144,2.50910103813,36.0874377358
44,120.499930964,-28.4934732235,433.5084108,0.231584056,168.4395977,0.457561673028,0.19061,0.947161861,5.884306184,2.61336152452,35.2437284675
45,120.508939973,-28.4934732235,434.0736398,0.241694616,344.0679307,0.433409851883,0.18344,0.940706304,5.873557414,3.06002106074,34.4083947641
