"block_id","urbanisation","q_true","qual_true","beta_a","beta_b"
1,0.10566773180965,0.10566773180965,0.685744693344081,0.512658227848101,35.253164556962
2,0.0859715859907479,0.0859715859907479,0.668256628980295,0.537974683544304,35.253164556962
3,0.0889239115390096,0.0889239115390096,0.706136286726761,0.563291139240506,35.253164556962
4,0.0862996399468141,0.0862996399468141,0.715814487802776,0.588607594936709,35.253164556962
5,0.14180835847561,0.14180835847561,0.795724235202553,0.613924050632911,35.253164556962
6,0.184110718315436,0.184110718315436,0.783076462006813,0.639240506329114,35.253164556962
7,0.215639472885113,0.215639472885113,0.794359363052815,0.664556962025316,35.253164556962
8,0.265239960928603,0.265239960928603,0.76609132186719,0.689873417721519,35.253164556962
9,0.195669369979629,0.195669369979629,0.729632189677535,0.715189873417722,35.253164556962
10,0.0885958861639112,0.0885958861639112,0.627237891485122,0.740506329113924,35.253164556962
11,0.0506291158834707,0.0506291158834707,0.552268456923962,0.765822784810127,35.253164556962
12,0.0853154563617601,0.0853154563617601,0.556880531556508,0.791139240506329,35.253164556962
13,0.072176682141326,0.072176682141326,0.501898310921611,0.816455696202532,35.253164556962
14,0.1324543365389,0.1324543365389,0.554219370764925,0.841772151898734,35.253164556962
15,0.21024355385052,0.21024355385052,0.620419345685086,0.867088607594937,35.253164556962
16,0.312949965958532,0.312949965958532,0.658567397458635,0.892405063291139,35.253164556962
17,0.290042295828794,0.290042295828794,0.69579873784626,0.917721518987342,35.253164556962
18,0.40602516582407,0.40602516582407,0.732652572571566,0.943037974683544,35.253164556962
19,0.377931962761745,0.377931962761745,0.764041200321668,0.968354430379747,35.253164556962
20,0.320083244251752,0.320083244251752,0.774126946493042,0.993670886075949,35.253164556962
21,0.352236960193753,0.352236960193753,0.796110315486687,1.01898734177215,35.253164556962
22,0.352684791928673,0.352684791928673,0.792101230092803,1.04430379746835,35.253164556962
23,0.29326231178021,0.29326231178021,0.794221634594036,1.06962025316456,35.253164556962
24,0.311700201332876,0.311700201332876,0.822655356375017,1.09493670886076,35.253164556962
25,0.197080482727052,0.197080482727052,0.811935968141785,1.12025316455696,35.253164556962
26,0.127466300597933,0.127466300597933,0.812504187902256,1.14556962025316,35.253164556962
27,0.0823623584188708,0.0823623584188708,0.755521256111699,1.17088607594937,35.253164556962
28,0.0734927734147283,0.0734927734147283,0.7024837877002,1.19620253164557,35.253164556962
29,0.168227057612503,0.168227057612503,0.792658186911011,1.22151898734177,35.253164556962
30,0.264082057618939,0.264082057618939,0.746026827434493,1.24683544303797,35.253164556962
31,0.274184926090008,0.274184926090008,0.733456630114957,1.27215189873418,35.253164556962
32,0.274968538098634,0.274968538098634,0.723474395194705,1.29746835443038,35.253164556962
33,0.21347681952763,0.21347681952763,0.707047024685508,1.32278481012658,35.253164556962
