"y","pH_b9t0.9","pH_b9t0.7","NDVI_b9t0.1","pH_b3t0.9","NDVI_b5t0.1","NDVI_b7t0.4","pH_b1t1","Water_b9t1","Road_b9t0.8","SOC_b9t1"
5.40717177146012,5.5765483327,5.4321658496,1.5458940696,5.5755399012,1.5222531259,1.6917150026,5.430136386,20.70843918,10.722772154,0.908465229
4.51085950651685,5.622076314,5.529646806,1.491575448,5.583481898,1.4988689174,1.7185687642,5.440211019,22.57732096,6.548800663,0.920245399
5.30330490805908,5.5834668087,5.4716684438,1.5289260013,5.616147258,1.5478634072,1.693391128,5.532342776,22.24636885,6.5332004168,0.899225249
6.0330862217988,5.6459137728,5.5499383948,1.481649548,5.40226938,1.4246248524,1.6669214662,5.427874584,21.46693735,10.058918644,0.920245399
5.72031177660741,5.7100974014,5.6461657784,1.4395810744,5.7224472498,1.3848187892,1.6007101942,5.59240283,18.93408891,22.054107764,1.035506161
4.39444915467244,5.6921935925,5.6296762598,1.4358538938,5.7342484926,1.400503836,1.6096997424,5.639540635,19.93544559,24.966028478,1.035506161
4.62497281328427,5.6924919189,5.6427305821,1.4494033159,5.6879838254,1.4321743923,1.656355426,5.634313005,20.33006841,29.01467401,0.889942378
5.47646355193151,5.6328882116,5.5589165498,1.4982640754,5.54418058,1.5392790986,1.8528275532,5.349063939,23.99977714,7.2787893018,0.920245399
4.7361984483945,5.6922590903,5.5713599942,1.459447961,5.759236778,1.4240593646,1.6511769376,5.719257991,22.89220282,14.635149226,1.035506161
5.03043792139244,5.6542464682,5.5761210232,1.4936127056,5.7601147205,1.418381586,1.6774211886,5.71927456,23.99977714,11.467934688,1.035506161
5.51745289646471,5.5820034505,5.476867423,1.5864409205,5.373512914,1.5388780122,1.8258405458,5.376219198,22.82014503,10.05049307,0.91376975
3.78418963391826,5.6028042997,5.5152452587,1.5479569162,5.6238791686,1.5395217508,1.8275077236,5.616712716,23.99977714,6.2151752784,0.920245399
4.77912349311153,5.7094211233,5.6204817187,1.4402627796,5.7295185184,1.4871572784,1.6178525152,5.759269049,21.77118148,19.869913286,1.035506161
5.75574221358691,5.689322412,5.6051395015,1.4465071135,5.7078236344,1.4308532945,1.619486616,5.716443276,22.28061419,25.39412692,1.035506161
5.32787616878958,5.704252239,5.6389524878,1.4793885998,5.6755769912,1.4357527032,1.6982512834,5.675654806,22.28061419,29.767211442,0.843861814
4.61512051684126,5.6409221381,5.5437489821,1.6019564332,5.6227046374,1.7076725766,2.1147462864,5.650450905,23.99977714,6.0835262046,0.920245399
4.89034912822175,5.6713688798,5.5957600662,1.5464267946,5.6539946794,1.5359599976,1.8088823382,5.654008714,23.99977714,11.921582458,1.035506161
5.43372200355424,5.6743361262,5.5798897484,1.4978156448,5.6552505867,1.5403851697,1.7890376536,5.502909256,23.99977714,14.997258286,1.035506161
4.84418708645859,5.6751369556,5.5901873333,1.5609685618,5.552048079,1.687839876,2.0537487808,5.429604343,23.99977714,7.79781104,0.920245399
4.68213122712422,5.598102493,5.4600594914,1.4377886108,5.4392692362,1.549460199,1.6742668078,5.310357974,13.78138119,20.984934318,0.947686556
4.04305126783455,5.5752947375,5.4690410599,1.6824928003,5.3581162324,1.621161161,1.9343287738,5.42517262,22.19972242,11.31947196,0.91376975
5.2257466737132,5.5927426818,5.4985043368,1.6622173828,5.5890090406,1.6131071266,2.0314657954,5.643320735,23.99977714,7.6664528574,0.91376975
5.19849703126583,5.7317879956,5.6092863744,1.5098134248,5.6853804672,1.5191867182,1.7323356384,5.550919726,22.28061419,23.022712306,1.035506161
3.29583686600433,5.6729418001,5.5895345156,1.7262476554,5.5890090406,1.979766411,2.1860858718,5.545843323,23.99977714,6.1418831712,0.91376975
3.55534806148941,5.5340035195,5.424454091,1.4451636695,5.503470999,1.490056948,1.636962344,5.363369889,16.63200171,20.12415281,0.947686556
4.60517018598809,5.7239730202,5.6228865738,1.4989276918,5.636142921,1.4978923143,1.6796525814,5.55519284,22.28061419,28.833936394,0.836844595
5.59098698051086,5.7176782392,5.619061494,1.5257822594,5.6741098265,1.497401746,1.666435899,5.69013033,22.28061419,26.795430296,1.021061266
3.58351893845611,5.5315093564,5.4004587928,1.49856809,5.44724983,1.4979006585,1.7154717134,5.321301359,16.17030258,19.942839904,0.947686556
4.27666611901606,5.662813398,5.552160012,1.810811594,5.5588166122,1.8679477753,2.1327011422,5.528639403,23.99977714,6.934086412,0.91376975
3.8286413964891,5.681495633,5.606850996,1.681380222,5.692039366,1.855531166,2.1456924468,5.645219453,23.99977714,8.883125474,0.920245399
4.60517018598809,5.7062731538,5.6294947574,1.6295656264,5.6836439062,1.6667378516,1.9226506678,5.770769121,23.99977714,12.97063821,1.035506161
5.01727983681492,5.7708502033,5.6435023959,1.6126738452,5.603318016,1.6124167776,1.879246036,5.709644785,23.99977714,16.503247772,1.035506161
4.38202663467388,5.7008897633,5.5993695051,1.4953019271,5.7589535588,1.4133137082,1.7282292488,5.463235238,13.63897671,8.3932264934,1.045733167
4.24849524204936,5.78038486,5.634179635,1.592569139,5.875740925,1.5928474,1.878351934,5.808003786,22.28061419,21.44811875,1.035506161
3.76120011569356,5.7817150553,5.6458207429,1.6316252075,5.8015146598,1.7540783215,1.9638109208,5.588640448,23.69361369,17.871803358,1.035506161
3.87120101090789,5.7008466096,5.6347421472,1.7039527558,5.7232248414,1.7646254452,2.1023930154,5.788172871,23.99977714,10.26215728,0.866586284
4.7361984483945,5.7327423324,5.6277914116,1.4286632223,5.6671887168,1.5430993521,1.6384101058,5.37850285,22.28061419,28.26416034,0.8871953
3.36729582998647,5.7029922948,5.6320246982,1.7861455072,5.7040737472,2.0048441314,2.203233995,5.699363102,23.99977714,6.5909105062,0.91376975
3.09104245335832,5.7046511862,5.6099002182,1.8610629534,5.5440334218,1.982440847,2.2202700872,5.458497212,23.99977714,6.3121514,0.91376975
3.73766961828337,5.6267139009,5.4953432739,1.8975632737,5.647007058,1.9254552508,2.1406141168,5.68612415,22.46614607,9.815328781,0.91376975
5.27811465923052,5.531717169,5.4427206092,1.450542472,5.5335189734,1.4349014495,1.58299676,5.522056843,22.02011456,19.07400787,0.921833611
3.73766961828337,5.5415850176,5.4511705128,1.4728123362,5.5173698252,1.493811134,1.607194124,5.534459899,21.28144509,17.593697706,1.045733167
3.73766961828337,5.5255341478,5.4265285539,1.4645396929,5.4309115768,1.4110627106,1.5926266326,5.424591149,21.25352121,19.27939532,0.921833611
