"var1","var2","qv1","qv2","qv12","pv12","interaction","LocationID"
"x1","x2",0.274772823227115,0.283889132743034,0.598625161951196,5.13277864655493e-10,"Enhance, nonlinear",1
"x1","x3",0.274772823227115,0.396484030190003,0.619047640041133,9.3554530788964e-10,"Enhance, bi-",1
"x1","x6",0.274772823227115,0.116804510112321,0.397528481382065,1.59815523037565e-08,"Enhance, nonlinear",1
"x1","gc_x1",0.274772823227115,0.0683546150912464,0.368211036700984,2.79762415900109e-07,"Enhance, nonlinear",1
"x2","x3",0.283889132743034,0.396484030190003,0.669678027812079,7.83654252600741e-10,"Enhance, bi-",1
"x2","x6",0.283889132743034,0.116804510112321,0.700232404305924,5.36253375038598e-10,"Enhance, nonlinear",1
"x2","gc_x1",0.283889132743034,0.0683546150912464,0.338812063669238,1.24678017909829e-08,"Enhance, bi-",1
"x3","x6",0.396484030190003,0.116804510112321,0.602298688066563,3.36234928788315e-10,"Enhance, nonlinear",1
"x3","gc_x1",0.396484030190003,0.0683546150912464,0.494167672329344,3.68183594723348e-10,"Enhance, nonlinear",1
"x6","gc_x1",0.116804510112321,0.0683546150912464,0.394622917965058,2.15167406114602e-09,"Enhance, nonlinear",1
"x1","x2",0.338154431358058,0.551083015379734,0.647921756983779,4.54184578835282e-10,"Enhance, bi-",2
"x1","x3",0.338154431358058,0.302559515274882,0.622540199159804,4.65970928509307e-10,"Enhance, bi-",2
"x1","x6",0.338154431358058,0.128811623815634,0.477353350492797,2.2011400480082e-09,"Enhance, nonlinear",2
"x1","gc_x1",0.338154431358058,0.29552363151322,0.464502367486575,3.92405474780588e-09,"Enhance, bi-",2
"x2","x3",0.551083015379734,0.302559515274882,0.649399220748453,7.97246269002017e-10,"Enhance, bi-",2
"x2","x6",0.551083015379734,0.128811623815634,0.744769584626754,4.14160483686032e-10,"Enhance, nonlinear",2
"x2","gc_x1",0.551083015379734,0.29552363151322,0.741360984341166,5.676416003908e-10,"Enhance, bi-",2
"x3","x6",0.302559515274882,0.128811623815634,0.525477403957014,1.48442891312328e-09,"Enhance, nonlinear",2
"x3","gc_x1",0.302559515274882,0.29552363151322,0.571551939653398,9.52947942778337e-10,"Enhance, bi-",2
"x6","gc_x1",0.128811623815634,0.29552363151322,0.451722612074538,2.14379539675846e-08,"Enhance, nonlinear",2
"x1","x2",0.32723380789853,0.0607941050930756,0.4403410109773,0.00806507579798155,"Enhance, nonlinear",3
"x1","x3",0.32723380789853,0.0926298384701852,0.39275843000142,0.00106849936846021,"Enhance, bi-",3
"x1","x6",0.32723380789853,0.0408954455444999,0.402394633970895,0.000287069334383494,"Enhance, nonlinear",3
"x1","gc_x1",0.32723380789853,0.112523166729151,0.433581589666197,2.2806260102648e-08,"Enhance, bi-",3
"x2","x3",0.0607941050930756,0.0926298384701852,0.26857835682619,0.000628326310535887,"Enhance, nonlinear",3
"x2","x6",0.0607941050930756,0.0408954455444999,0.323011402579975,0.0128175225850021,"Enhance, nonlinear",3
"x2","gc_x1",0.0607941050930756,0.112523166729151,0.168086384582033,0.997204815690528,"Enhance, bi-",3
"x3","x6",0.0926298384701852,0.0408954455444999,0.172063587448394,0.0932645223215214,"Enhance, nonlinear",3
"x3","gc_x1",0.0926298384701852,0.112523166729151,0.224697023669785,0.0118260809972747,"Enhance, nonlinear",3
"x6","gc_x1",0.0408954455444999,0.112523166729151,0.246067289419272,0.0281806059261954,"Enhance, nonlinear",3
"x1","x2",0.266019683712263,0.301087799519638,0.485070818273058,3.54497875498794e-10,"Enhance, bi-",4
"x1","x3",0.266019683712263,0.234174931513177,0.545952842555115,3.03140512691868e-10,"Enhance, nonlinear",4
"x1","x6",0.266019683712263,0.0401509177332321,0.403643184443351,1.01468677904393e-09,"Enhance, nonlinear",4
"x1","gc_x1",0.266019683712263,0.287882586602606,0.411557380353549,6.73763267400318e-10,"Enhance, bi-",4
"x2","x3",0.301087799519638,0.234174931513177,0.568154936294793,5.41585443158965e-10,"Enhance, nonlinear",4
"x2","x6",0.301087799519638,0.0401509177332321,0.714392035305879,5.52334400438781e-10,"Enhance, nonlinear",4
"x2","gc_x1",0.301087799519638,0.287882586602606,0.702717236068687,2.57955656834952e-10,"Enhance, nonlinear",4
"x3","x6",0.234174931513177,0.0401509177332321,0.497983545942526,8.97598884108675e-10,"Enhance, nonlinear",4
"x3","gc_x1",0.234174931513177,0.287882586602606,0.499251728192156,9.60577395403561e-10,"Enhance, bi-",4
"x6","gc_x1",0.0401509177332321,0.287882586602606,0.431452842293863,4.45187664510627e-10,"Enhance, nonlinear",4
"x1","x2",0.239022359917902,0.261455573534093,0.490309867329197,4.99599694947506e-10,"Enhance, bi-",5
"x1","x3",0.239022359917902,0.0421183942834068,0.374984249405801,4.71136352153678e-10,"Enhance, nonlinear",5
"x1","x6",0.239022359917902,0.0218642333592503,0.365000717688199,4.15960377253555e-10,"Enhance, nonlinear",5
"x1","gc_x1",0.239022359917902,0.0355516142644313,0.312778809421877,5.11185094254074e-10,"Enhance, nonlinear",5
"x2","x3",0.261455573534093,0.0421183942834068,0.324101121752292,2.66229815970576e-10,"Enhance, nonlinear",5
"x2","x6",0.261455573534093,0.0218642333592503,0.403714483462067,9.49823331097832e-10,"Enhance, nonlinear",5
"x2","gc_x1",0.261455573534093,0.0355516142644313,0.331537171284656,1.54065804558456e-09,"Enhance, nonlinear",5
"x3","x6",0.0421183942834068,0.0218642333592503,0.133947686894851,0.00748654797104031,"Enhance, nonlinear",5
"x3","gc_x1",0.0421183942834068,0.0355516142644313,0.141715360786521,0.000442260123457716,"Enhance, nonlinear",5
"x6","gc_x1",0.0218642333592503,0.0355516142644313,0.0963871589538963,0.122946579050461,"Enhance, nonlinear",5
"x1","x2",0.184230273554836,0.227560004913792,0.380943257885426,6.65781207942473e-10,"Enhance, bi-",6
"x1","x3",0.184230273554836,0.0117857145603487,0.267376696237303,1.15546313320669e-05,"Enhance, nonlinear",6
"x1","x6",0.184230273554836,0.0604703616810421,0.304720172376357,3.08809977589419e-10,"Enhance, nonlinear",6
"x1","gc_x1",0.184230273554836,0.021275511041882,0.224532988833248,3.20847588974882e-06,"Enhance, nonlinear",6
"x2","x3",0.227560004913792,0.0117857145603487,0.249640378897676,1.41505340778281e-09,"Enhance, nonlinear",6
"x2","x6",0.227560004913792,0.0604703616810421,0.444558848243788,9.09457398279301e-10,"Enhance, nonlinear",6
"x2","gc_x1",0.227560004913792,0.021275511041882,0.310574978689045,7.13019587816888e-09,"Enhance, nonlinear",6
"x3","x6",0.0117857145603487,0.0604703616810421,0.11056988119952,0.0612359810076449,"Enhance, nonlinear",6
"x3","gc_x1",0.0117857145603487,0.021275511041882,0.124328160083569,0.00382461482474294,"Enhance, nonlinear",6
"x6","gc_x1",0.0604703616810421,0.021275511041882,0.128284913725921,0.00519615116311412,"Enhance, nonlinear",6
"x1","x2",0.148296963834512,0.133013933854925,0.372330331150644,9.17180876802703e-08,"Enhance, nonlinear",7
"x1","x3",0.148296963834512,0.133767448278167,0.43888675921525,6.41557362790479e-10,"Enhance, nonlinear",7
"x1","x6",0.148296963834512,0.21301773151937,0.430830668168154,6.87992773862334e-10,"Enhance, nonlinear",7
"x1","gc_x1",0.148296963834512,0.0641472801526671,0.216933489281922,0.00463907456796109,"Enhance, nonlinear",7
"x2","x3",0.133013933854925,0.133767448278167,0.320507674191974,3.38800918870952e-05,"Enhance, nonlinear",7
"x2","x6",0.133013933854925,0.21301773151937,0.392161126070311,5.56897105546961e-05,"Enhance, nonlinear",7
"x2","gc_x1",0.133013933854925,0.0641472801526671,0.277920748674141,0.00159721429881055,"Enhance, nonlinear",7
"x3","x6",0.133767448278167,0.21301773151937,0.370515575963412,8.48638923134359e-07,"Enhance, nonlinear",7
"x3","gc_x1",0.133767448278167,0.0641472801526671,0.24516168831689,6.25124599129556e-06,"Enhance, nonlinear",7
"x6","gc_x1",0.21301773151937,0.0641472801526671,0.337708011179852,1.87404555207493e-07,"Enhance, nonlinear",7
"x1","x2",0.424020107792555,0.214806958589555,0.539976119349455,3.49255735443421e-10,"Enhance, bi-",8
"x1","x3",0.424020107792555,0.188298861777286,0.440361121632565,6.62972053400157e-06,"Enhance, bi-",8
"x1","x6",0.424020107792555,0.240927762515907,0.546128910122264,6.64507782133228e-10,"Enhance, bi-",8
"x1","gc_x1",0.424020107792555,0.114523396742339,0.463611820712935,2.53697873819902e-09,"Enhance, bi-",8
