"ga","gb","n"
0.0274918172742061,0.239559563132696,40
0.0419104318906562,0.274391647670205,40
0.0584439251347744,0.291215359256544,40
0.0728147567911414,0.336121524656849,40
0.0853347335199708,0.360657797366821,40
0.0958621371496819,0.357979719993482,40
0.109038712080898,0.412175894110765,40
0.121423788432025,0.42701900279235,40
0.133115402683091,0.465910122102003,40
0.144600648869729,0.49598019794427,40
0.159215558546975,0.475880379439512,40
0.172421301287286,0.5409457007251,40
0.185756805283505,0.517361286051432,40
0.197671226950205,0.551199597562538,40
0.210714554777299,0.534750285635957,40
0.223821986654569,0.541035224559601,40
0.23761638119929,0.548743206976676,40
0.252116120573866,0.535121878756011,40
0.268398654524494,0.561899115752882,40
0.283891730145072,0.567070272671683,40
0.298114611774703,0.549076530114325,40
0.314177262877512,0.560543832307496,40
0.327919860406218,0.579156258045405,40
0.343530391818483,0.592136116557354,40
0.361210670662843,0.586908071230741,40
0.380466800104332,0.58089082423609,40
0.400100965147634,0.603677397145584,40
0.41841608329133,0.583191618508104,40
0.438207129554122,0.588271076748083,40
0.456397316673336,0.620864914770601,40
0.476780596124607,0.570246796889539,40
0.503466312104232,0.616214889439387,40
0.530090814009631,0.588057733293275,40
0.555732798484157,0.627890058648687,40
0.585008543286014,0.646006030307891,40
0.617384413885327,0.598862407587899,40
0.653136523468422,0.585498564540347,40
0.698101674421643,0.544216822786756,40
0.756275735025846,0.554855210965075,40
0.855621786356134,0.477796957110648,40
