"ga","u","se","eta"
0.0189666610728973,0.246183715526096,0.0226586330509985,0.936789792487761
0.0238508683677496,0.247607509962693,0.0166802097907393,1.06923050983025
0.028735075662602,0.250364117865878,0.0124139887463259,1.21169363321239
0.0336192829574544,0.254365708670489,0.0100240979245452,1.3522227064972
0.0385034902523067,0.259548550301797,0.0093260779336685,1.48676931006228
0.043387697547159,0.265954238687523,0.00958533093958688,1.58031927926309
0.0482719048420114,0.273636568755368,0.0100465689276317,1.62639892270374
0.0531561121368637,0.282740119718037,0.0103380629092735,1.72955771357325
0.0580403194317161,0.293529018585793,0.0105016316878379,1.84192215465038
0.0629245267265685,0.305624539592143,0.0106123495181005,1.92105503568142
0.0678087340214208,0.318800610625784,0.0102162470121802,1.98851122550497
0.0726929413162731,0.331088391997794,0.0102626410181327,2.06565048853662
0.0775771486111255,0.341507749317411,0.0101305720635239,2.11838906010793
0.0824613559059778,0.348977730780725,0.00970180559443251,2.16255719443999
0.0873455632008302,0.3583200733574,0.0097218370243098,2.19811131285243
0.0922297704956825,0.366959680899545,0.00986151691836565,2.21512021591441
0.0971139777905349,0.376096162703883,0.0101037978582666,2.2108896762517
0.101998185085387,0.387023020904233,0.0102317097813765,2.20156632636961
0.10688239238024,0.397796384363942,0.0104739265651705,2.19384749323705
0.111766599675092,0.409488651213468,0.0105686822147969,2.18434938950224
0.116650806969944,0.422361394295369,0.0103150920806039,2.15332391594519
0.121535014264797,0.435453815402672,0.0101663657907257,2.06415114115123
0.126419221559649,0.448381932444131,0.00987650326213216,1.99424281364218
0.131303428854501,0.460123267734064,0.00992132352456535,1.94080541735154
0.136187636149354,0.470090220480555,0.00999574167403687,1.87951594128583
0.141071843444206,0.477003513453282,0.00992925070917994,1.79447615265381
0.145956050739058,0.484527437898675,0.0104328985025071,1.70587646798317
0.150840258033911,0.487940585635009,0.0104994319254225,1.61075250641655
0.155724465328763,0.492979706281059,0.0105280440863227,1.47202046126372
0.160608672623615,0.500774572632041,0.0105570157838755,1.29834247608978
0.165492879918468,0.507955730018577,0.0105995011208609,1.12674747662472
0.17037708721332,0.514663773396232,0.0103578237250161,1.02490425592743
0.175261294508172,0.522343645763853,0.0101896056611256,0.930390285146163
