"scenario","model","R2","RMSE","MAE","R2_paper","RMSE_paper","MAE_paper"
"normal","OK",0.875889603846486,0.360544573996276,0.283427360403862,0.876,0.361,0.284
"normal","SRK",0.971929922859856,0.171465474713484,0.136559917932272,0.972,0.172,0.137
"skewed","OK",0.832525168198442,0.360691288995517,0.265085531073053,0.833,0.361,0.265
"skewed","SRK",0.967784299998382,0.158195696492985,0.11715995027562,0.966,0.162,0.12
"long-tail","OK",0.735692477573414,0.178229440943152,0.107346374474996,0.736,0.178,0.107
"long-tail","SRK",0.940290391100431,0.084712362992121,0.0559681463215467,0.94,0.085,0.056
