"element","feature","importance","kind","share"
"Co","hm",37311.5055374313,"covariate",0.230726227748808
"Co","elevation",28207.7173396805,"covariate",0.174430383374908
"Co","sv_hm",26709.7011242917,"singularity",0.165166977208237
"Co","x",22847.5804711752,"coordinate",0.14128446385025
"Co","y",22067.4597924801,"coordinate",0.136460367400869
"Co","sv_ifi",17844.9480105184,"singularity",0.110349273757126
"Co","ifi",6724.41308616846,"covariate",0.0415823066598021
