"element","RF","SRK"
"Co",-4.27321990474415,-3.68985915488275
"Co",-13.3680357810469,-10.7582918094353
"Co",1.94041565439884,2.61987724646591
"Co",-5.05207720743787,-2.91506907375616
"Co",-5.25184887639664,-6.0814899291823
"Co",-3.40717507222913,-1.94159588705067
"Co",-1.7166367744694,-2.01826286955623
"Co",-3.96498689942733,-4.11108413768491
"Co",-0.602443063563697,-0.769432500571068
"Co",-3.177784294568,-1.76253390016856
"Co",8.154640003002,7.61394796416884
"Co",17.4806182487736,16.7585660905305
"Co",-3.65746500830666,5.27300193312733
"Co",-0.57479522669734,-0.0545825885496818
"Co",-3.13671775083205,-7.17655756486722
"Co",12.765707708246,10.8813273013696
"Co",9.41186103608852,10.4089703233527
"Co",0.225437767550998,0.692237321665832
"Co",7.28978071850661,6.91494490160115
"Co",1.36482578591401,0.85816273937551
"Co",-1.2564475907334,-2.34278211160717
"Co",0.604093336038,0.0878299999556713
"Co",1.41039528225653,1.24637667349967
"Co",-1.76613652118067,-1.4134096577936
"Co",-0.416473100058404,-0.349416914197835
"Co",-1.86438877552367,-2.11813958239093
"Co",0.500887927155137,0.517990368524565
"Co",-1.10597893197803,-1.5257532214033
"Co",3.55270160811361,3.58717564495896
"Co",4.34855146855184,4.13987781208816
"Co",0.922433333333332,1.2202867739215
"Co",1.61210467187667,2.94249254630767
"Co",0.227576250104006,1.12863439034624
"Co",-6.09219159840635,-4.91611997353447
"Co",1.19510318460152,0.5287274984851
"Co",17.0655798831789,16.6393883792274
"Co",-0.242519845414355,-0.329317045143288
"Co",1.76277895589436,1.4745182610623
"Co",-1.86157224579972,-1.4255220990976
"Co",-0.357045128373346,-1.16405512363937
"Co",6.80612024075158,5.76280231730902
"Co",-0.401400311916074,-0.0688534771850975
"Co",1.31642986053512,1.02761457682225
"Co",-0.486350563090939,-0.414133713906407
"Co",4.867893053092,4.1984141261138
"Co",-3.03895016054063,-0.35798329577182
"Co",-3.67523154669271,-3.28631308429359
"Co",-0.0421745661693542,0.288458781621086
"Co",3.11171025865069,3.2729118646865
"Co",-6.39644105216783,-6.34568331818036
"Co",-0.232097823240233,-0.305024925828892
"Co",-0.713472138983322,-0.639718928595089
"Co",-2.11663749976954,-2.10439885745792
"Co",-1.36529812962927,-1.3677589802286
"Co",-0.718379271803631,-1.21665090231016
"Co",-4.760445666576,-5.5881013107135
"Co",-4.19764192864727,-5.4474251723865
"Co",-2.35302002395686,-1.14440182583177
"Co",0.113674307106992,0.613309164145969
"Co",2.39266880845046,2.26317351293973
"Co",-1.53857279570102,-1.35132952520426
"Co",-2.41226810863514,-2.04987959275569
"Co",0.202755771385405,-0.198564473526742
"Co",0.827949233555453,0.746910324982865
"Co",-5.97439490857681,-6.26241188490921
"Co",0.474343266084438,-0.168622595762923
"Co",0.0185529138276754,-0.521772799395483
"Co",-1.68627053119343,-1.57435745228477
"Co",-0.0777413340180892,0.256678753081266
"Co",-1.14464195481583,-1.0604285510221
"Co",-1.50003317247674,-1.3382882357991
"Co",-4.57860920262186,-3.004772637878
"Co",-1.15815449486901,0.614375561709
"Co",-2.12981355609212,-0.98606341925155
"Co",-7.27102744882613,-8.13044558681319
"Co",-1.35287459073617,-2.35472196737129
"Co",-0.751832592163353,2.63716833003065
"Co",-4.89788838079647,-3.65897351578987
"Co",-7.7892853780556,-4.71114024699248
"Co",7.279461004758,4.3008733805323
"Co",-0.12296332700933,-0.499071672230928
"Co",7.21593347755434,6.52583333072534
"Co",-4.73517430081633,-3.37700409577817
"Co",1.96451396484044,1.7107066465762
"Co",-1.95836906445984,-2.25774404334761
"Co",2.07397626333815,2.04364112987304
"Co",-0.557792013262734,0.135448965931043
"Co",-0.364367416825196,-0.998478115190162
"Co",-0.550917187855204,0.252697430874921
"Co",-1.9757916882429,-1.43144095254229
"Co",-2.83343002733257,-2.839771054724
"Co",-0.639494872350253,-1.56432473118244
"Co",1.63971388425935,2.1883140366349
"Co",-2.53137380317906,-2.84511002637112
"Co",-2.37389007506007,-2.95278083147094
"Co",-2.85110331836133,-1.8886294201919
"Co",0.882253647539343,0.40291332468832
