x,y,EVI,NDVI,LST,P,T,PH,watercontent,elevation,slope,P_climate,sig.P_climate,LST_climate,sig.LST_climate,water_soil,sig.water_soil,NDVI_plant,sig.NDVI_plant,soil_plant,sig.soil_plant,climate_plant,sig.climate_plant,climate_soil,sig.climate_soil
99.048,26.2059,0.201142282266391,-0.189609715567347,-0.695828140299346,2.15216567855558,2.47425074582254,-2.30483402320463,1.66627254753214,-1.47554357609363,0.0145242548561215,0.0162057081841503,0.902010828878742,0.853477017750674,0.00000000132508692907152,-0.575970896693447,0.00013202361673792,0.850964719697398,0,-0.256413022885755,0.0624676300559568,0.78378233038191,0.00000088680414589426,0.166663265295193,0.550716389077872
99.0638,26.4155,1.30881134233804,0.798913421062596,-0.425526503109736,2.30152643137627,2.31824436636396,-2.63103988591095,1.50082264044676,-2.20279952731027,1.09128514831867,0.0964216336098026,0.437357865926995,0.833590818585287,0.000000000470570471478027,-0.609697804095811,0.0000430702329532462,0.882220438880261,0,-0.202385373224893,0.229636518150073,0.876044419611838,0.00000450103992521989,0.393869379387815,0.106989933607476
99.4634,26.7375,2.13874009365309,2.28464811412268,-0.0127230168863883,1.76902916008653,2.27179500471035,-2.04170494489011,0.863351182735323,-2.25831130137149,0.4071621447468,0.139380337356459,0.223833133535217,0.811951238364459,0.0000000000411632949948171,-0.624726593110649,0.0000315829457613326,0.888362826888199,0,-0.0715919373915725,0.611033461370194,0.83971783181044,0.00000217058282214744,0.393039242900615,0.134203221842971
99.4254,26.7926,2.04407615810164,1.8881162172144,0.405937676907489,1.68396234539319,2.30829944009102,-1.34832956943622,1.15439674057019,-2.54160257278247,0.454597668775674,0.128154731473344,0.259222758320245,0.81530797960364,0.00000000000463895588609375,-0.607725832941748,0.0000416677513506158,0.892268502627728,0,-0.0684033205875604,0.606754139543794,0.853278709556603,0.000000687520015363319,0.39739911169508,0.130336646139799
99.2543,26.8812,2.61524599856403,2.40712210887505,-0.121479778212919,1.94011989126075,2.60828704881601,-1.71516793576822,1.17579652868518,-2.03828463549029,1.05263338546872,0.138208242465489,0.231632247050987,0.852300871337798,0,-0.643351185368205,0.0000264606148321356,0.925916232522849,0,-0.0287027287808829,0.781150393966443,0.871379981210922,0.000000000020152324253786,0.359666648113891,0.117494391756115
99.6771,27.0101,1.81924630477017,1.77846342944103,0.0390714509375342,1.28772928847673,1.99306581980349,-1.84035852773157,1.30083170863077,-2.48636003916042,0.509621648724117,0.120428538034167,0.259611233096264,0.812690905708856,0.000000000000740296712820054,-0.633631483731149,0.00000328433009899598,0.884284025761902,0,0.0197250425501767,0.870689795230286,0.827983597430631,0.000000116305289621366,0.382201701363055,0.121932939229686
100.204,27.0902,-0.674453284261757,-0.799200427786727,-1.71779221584859,1.98021412583657,1.7621760568201,-1.93182561889202,2.2416452881494,-0.404797694520414,2.09833837939025,0.179797812010647,0.0724776157183398,0.747491544486515,0.00000000558046564513859,-0.736584378876416,0.000000427284381432358,0.901012437318395,0,0.249216691932259,0.0565412703902912,0.732838068383043,0.0000261281884821329,0.305100558113015,0.24414311447924
100.593,27.1541,2.23784296558117,2.32599393524286,0.371598823782107,1.99320775016851,2.55847556706238,-1.75445725360417,1.55776999707195,-2.60211752254988,0.695956733849396,0.193244036390647,0.0503943079315627,0.7291153247213,0.00000000319181681085468,-0.758617983728494,0.0000012209818107678,0.902131488650909,0,0.318807520337255,0.0117054213070877,0.712707488656868,0.00000855834906299258,0.220080372220267,0.374462978596771
100.659,27.1871,1.99339387548555,2.03580722550306,0.493323524105807,1.78095097479348,2.46221098352882,-1.76953872873002,1.16846329972431,-2.4003095606716,0.43606382897023,0.193244036390647,0.0503943079315627,0.7291153247213,0.00000000319181681085468,-0.758617983728494,0.0000012209818107678,0.902131488650909,0,0.318807520337255,0.0117054213070877,0.712707488656868,0.00000855834906299258,0.220080372220267,0.374462978596771
99.2095,27.3288,2.49414516394275,2.29378526160229,-0.154338407371382,2.49520094874111,2.3997796330975,-1.91945350504143,0.999782550449203,-2.33906979342444,0.0715992697342865,0.141621458726687,0.14437868441923,0.819960840865109,0,-0.649270111507305,0.00000119465464964996,0.922416452621353,0,0.000992895914958459,0.992058986576241,0.893722726252346,0.000000000256422882927154,0.372348517311781,0.0859215209040145
