"GC_Induscale","GC_IT","GC_Income","GC_Sexrat","GC_Houseown","GC_Indemp","GC_Indcom","GC_Hiedu"
0.92198778609604,0.945091443963758,0.952130798694617,0.844664691625759,0.905991581680966,0.857556174478735,0.889297364822881,0.923642621440014
0.919120051771241,0.849446288892599,0.92513788937572,0.769921618483368,0.825288904419654,0.852520615565307,0.872231047967296,0.877385518909201
0.919184976901298,0.861470777070683,0.914065802084815,0.729096329390822,0.75898005101452,0.888207849552178,0.911149355710166,0.877285607971495
0.919254787174478,0.833575295906287,0.948599006490757,0.775290614657793,0.807018612654239,0.891870753649842,0.911117225368738,0.863217847586816
0.923641731807498,0.829744912837335,0.93038986218192,0.77768661213157,0.889091862996124,0.862893385796097,0.886220984373237,0.84318310206285
0.92005191053824,0.873421353871757,0.956187319516043,0.781886433053893,0.855596904081841,0.864607195468989,0.929085913993289,0.858044768291612
0.920502360716052,0.890504931287883,0.957269891305072,0.799293232690326,0.865355215278368,0.80874082155865,0.911702510875131,0.833663105130574
0.919475502276705,0.816677737475862,0.937737623570807,0.809856037203315,0.833963185217922,0.910210008825198,0.911131476772126,0.86730657109348
0.919170517517574,0.662639145218025,0.900757756879809,0.767581480101648,0.837449254759075,0.911359174075922,0.914258827396393,0.772887020619488
0.919491622876213,0.840628086750006,0.95697242623145,0.75772699607378,0.863471342219743,0.927412779219185,0.91815330681217,0.823305766335213
0.919471116101909,0.752839310790882,0.930073739815627,0.7998024153742,0.860559388493693,0.916003870237622,0.918289200862,0.806871594247833
0.919228039428299,0.790810968104718,0.79422050031765,0.765188285246676,0.744052748379378,0.887835994038518,0.916864606860156,0.852813784852611
0.919008519141279,0.830506058867121,0.810897481543679,0.785873158304957,0.757272318013372,0.858669421069717,0.908854696766105,0.882345739867244
0.918963949150383,0.435493117972566,0.887069146772849,0.754602421255558,0.839580294200815,0.887076017712755,0.896306555522723,0.673741097317795
0.918986964280381,0.415283744637089,0.912817203903848,0.767066426414586,0.846177934833319,0.876711501725937,0.858099498390947,0.632722623481523
0.919136150821045,0.609872870542107,0.923123303014535,0.746736312434288,0.873297541282698,0.911357750864462,0.913825440745866,0.741242926440185
0.933714752166659,0.859522504527914,0.952623978242166,0.773641176848629,0.853914573463395,0.884518110399243,0.925327769203585,0.79181130888521
0.962735003056462,0.889741065024686,0.959060272544736,0.798826089288536,0.901825674026378,0.831725732068557,0.930987755366158,0.858097910773466
0.95015543653594,0.867614765437252,0.955332981917946,0.808191909805928,0.858001628841792,0.888617551102388,0.932723296182123,0.817986584953531
0.919345512560753,0.765859565087469,0.954846468886832,0.744885341482189,0.873110599237893,0.924692646921184,0.909875766526672,0.759788159117806
0.984829961755936,0.895619462334786,0.958034915168992,0.790741757295884,0.873654873718338,0.916674673063049,0.926836346045196,0.899245067700008
0.941050206084471,0.905545528272602,0.951183004269745,0.761154629262905,0.726748180464797,0.917625549756452,0.923849194762901,0.886481589583503
0.948056072441543,0.891595873094631,0.963825368931701,0.819231513652321,0.910434887928206,0.896408306489142,0.927723335666438,0.912918785838708
0.921226613452153,0.809178302724742,0.931905144674305,0.805303037990464,0.748040626033543,0.96240626513139,0.924625448169842,0.723581605997885
0.919143391340428,0.836525010919561,0.827490900094467,0.764033992866852,0.747440220682347,0.874600487208863,0.915122029043758,0.873111368415836
0.919198614251562,0.805453582998055,0.829556262933513,0.76570396710692,0.706704675147131,0.870746980722042,0.892329877284351,0.872186310373802
0.919406889325999,0.797272071307782,0.921735622750724,0.773158933129999,0.7780595020533,0.93538784335522,0.9045758798309,0.781278122765891
0.919600838863988,0.818823204880289,0.881253019446555,0.799887218753579,0.860015138961673,0.923364573234022,0.939103433775139,0.81817963858607
0.919060927772788,0.547168064483798,0.825473994672128,0.771436772194929,0.806680233740294,0.889669592746942,0.874867967346822,0.647199595994265
