"coef_GC_Income","coef_GC_Indemp","model"
-0.0363179608439307,-0.151849540749566,"MLR"
-0.0389689130668854,-0.0354351846160396,"MLR"
-0.0354317396125243,-0.0570719346551777,"MLR"
-0.0326345434722249,-0.238334356663218,"MLR"
-0.0384323331527185,-0.110013484173313,"MLR"
0.00391302338917242,-0.00115076291425714,"MLR"
0.00179586172942717,-0.000651477450148294,"MLR"
-0.0247884807530986,-0.192745503948078,"MLR"
-0.0329063762040908,-0.0454015074012269,"MLR"
-0.0189186372922901,-0.146079254692305,"MLR"
-0.0295937468692162,-0.170902174628813,"MLR"
-0.0166410012287709,-0.0442704700001812,"MLR"
-0.0131720133238497,-0.0781418008050577,"MLR"
-0.0265525907259933,-0.0328818311985036,"MLR"
-0.0281163699760563,-0.0213866914932878,"MLR"
-0.0243280191136323,-0.109137781132419,"MLR"
-0.00425954109016323,-0.0382115444454195,"MLR"
-0.00372500499512689,-0.0323864798943502,"MLR"
-0.00458960872260684,-0.0386835224929704,"MLR"
-0.0117326868291238,-0.0921600226725243,"MLR"
-0.00292714760393829,-0.0911566739842417,"MLR"
-0.00896702150016825,-0.127944185136868,"MLR"
0.000536077609685502,-0.0724032387308845,"MLR"
-0.00750918751073538,-0.0609541970876864,"MLR"
-0.015390027445003,-0.101840767454421,"MLR"
-0.0135936804229215,-0.0972238055412029,"MLR"
-0.0103234123755829,-0.0799916571368154,"MLR"
-0.0551059019431409,-0.0238627539515048,"MLR"
-0.036611329424929,-0.0155862894981424,"MLR"
-0.0659847047658248,-0.012165879235268,"MLR"
-0.0165380968906251,-0.109014083094992,"MLR"
-0.0162751494798786,-0.0917028823579143,"MLR"
-0.0213518902724343,-0.0901272546748485,"MLR"
-0.0173762368713262,-0.121099546751393,"MLR"
-0.0019678783932989,-0.0205547572026888,"MLR"
-0.000709882576017593,-0.0130271395673771,"MLR"
-0.0029582787059376,-0.0271761719148968,"MLR"
-0.0758542131033091,-0.0616853630337645,"MLR"
-0.0731711149851001,-0.0760353274830513,"MLR"
-0.133923192638723,-0.17306488962353,"MLR"
-0.03930108012441,-0.0232170135739897,"MLR"
-0.0414154201253468,-0.034939820464545,"MLR"
-0.0396958923392837,-0.0310428268107523,"MLR"
-0.0270830694112171,-0.224256900354632,"MLR"
-0.0170879767683001,-0.172610186265641,"MLR"
0.00484129069555653,-0.0563943922660336,"MLR"
0.00547693149052654,-0.0283378736560112,"MLR"
0.00266664584496375,-0.0245729554059562,"MLR"
0.00518379900782008,-0.0419345660271304,"MLR"
0.00457582095457523,-0.0599378871012742,"MLR"
0.00494620116510165,-0.0508310714095149,"MLR"
0.00451599221066523,-0.0583415036235291,"MLR"
0.00200732743496466,-0.0595820320423051,"MLR"
0.00221004210193393,-0.0625230063412165,"MLR"
0.00242591866015082,-0.0566708527432562,"MLR"
0.00247647508041259,-0.0493740708097513,"MLR"
0.002044284435734,-0.0550938681278273,"MLR"
0.00202723523232449,-0.0738669105105183,"MLR"
0.0020149769993096,-0.0692336560804969,"MLR"
0.00152630890488134,-0.0723123447978995,"MLR"
0.0017049311191014,-0.0677731236539118,"MLR"
0.00278070582267192,-0.06364743883798,"MLR"
