"error_MLR","error_SVR","error_GWR"
-0.0578417375280361,-0.0268128169255004,-0.0290021105373142
-0.014251076755718,-0.00474651137927529,0.00441181957766595
-0.00181066979116673,-0.0034958830699075,0.00385802441297417
-0.0410553784808269,-0.0265703850987299,-0.017853352301562
-0.022477339306805,-0.00476462083367629,-0.00371871493004372
-0.00931400968970564,-0.00355462177054217,-0.00293190982294594
-0.00992437355336989,-0.00477228335519014,0.00104416300059124
-0.021272620004842,-0.00297836072159319,0.00258173756671864
-0.00520056422987453,-0.0047612341787881,-0.00707309227336511
-0.00156200830459091,0.00276288384985723,-0.00752417950675066
-0.0070418354911036,0.0145370541999774,0.00664308866971874
-0.00529632481050601,-0.0049945834373239,-0.00863690672998374
0.00435863919287127,-0.0131144015066427,-0.00955647804166837
0.055946654577799,0.0454498067089183,0.0511612270559716
-0.0631631709701944,-0.0501202789285852,-0.0610649217683313
-0.0118531558985336,-0.0031021715456625,-0.0112423638568707
0.0209448433114403,0.00475821742690391,0.0212298392980442
0.00428694405477986,0.0196412440549271,0.0166242016975212
0.0111629634292289,0.00704802928827153,0.0144885769658448
0.0152719857086003,0.00476860349576153,0.0155009376944444
-0.0168068273325785,0.0047624429156049,-0.00593380058451642
-0.0136128333958793,-0.00603076450345758,0.00111426291633004
-0.0115580627439033,0.00474687792287759,-0.000238240999228867
0.00930047378071597,0.0082011677294237,0.000164787807099165
-0.00607171237870824,-0.00862606737545119,-0.0132329017580098
0.00262198766639565,0.00594727124996158,-0.00649940448809949
0.000210312717982386,-0.00089517064537431,-0.00607331272905426
-0.00845959218433073,-0.00983201815034163,0.00300436287854172
0.0132423249717061,0.0078952864759339,0.0139792081833776
0.00327704319279765,0.000184867208122941,0.00528588176237438
0.00712467939384231,0.0134674725035535,-0.00508010797848846
0.0183491406654371,0.00545938877984875,0.00394475598513067
0.0515184138562306,0.0349681605892866,0.0415469253184992
-0.00260253659801452,0.00675274514139584,-0.00353261206796984
-0.014522293276755,-0.0047749835160496,-0.0163560223920583
-0.00629762395727684,-0.0041401653593296,-0.000154661423459546
0.0299970075825409,0.00476607929356737,0.0348742843446049
0.0368021699933957,0.0172789559904974,0.00359236435316534
0.00291858603900996,0.00605174854824131,-0.00600868436487884
-0.00770585033607896,-0.0102780871449073,-0.0131023518719652
-0.0103530219710846,-0.00745937314424955,-0.0104399267376119
-0.0535187931687864,-0.0369932111529057,-0.042502729988648
-0.00687203456892255,0.00476055310320961,-0.00178639349753479
-0.00993132908891758,-0.0098763045941499,0.00235940962972669
0.0319645579325597,0.0238108109580595,0.0366345625121915
-0.00667315311748662,-0.0132059668259958,-0.00644355786742512
0.082131591521511,0.0713543833908816,0.0620104519957482
-0.0139007189873472,-0.010226135892529,-0.00468399172396144
-0.0223202350247541,0.00476410967541296,-0.00873558873854041
-0.0549813228980852,-0.0159818323193594,-0.0309621393343451
-0.0337819321585864,-0.0287553625503456,-0.00275319600280988
-0.0172884844648745,-0.00474121251312254,0.019682074041655
0.00241986461851318,-0.00475992672161935,0.0085990414170708
-0.0492116389758107,-0.0601046719758033,-0.0402020901008373
-0.00339411327180328,0.00476363236487365,0.00753141911941568
0.0679295061642776,0.0170898021874507,0.0557797747587786
0.0314961548742435,0.0100265592976343,0.0388050411629667
-0.0391949923229899,0.000735016589607673,-0.018578366327082
-0.0260165747487177,0.00473780465337981,-0.0118836645700456
-0.0010971108020455,0.0056380117307655,0.0106007189841492
-0.0205742056033019,-0.00477281630153409,-0.00869482661190646
-0.0137190764423053,-0.039491143830904,-0.0129833071839417
-0.0209138653889912,-0.028557949460731,-0.0316730228236679
0.0113747211240619,0.00339000276525803,0.0215318645755863
0.0177466766265938,-0.0171170561137208,0.00273420381314604
-0.0316601795230406,-0.0401145491640172,-0.029912831213122
0.0241847912455437,0.000614874332675708,-0.00690855585907502
0.00756031746511909,0.0137953400974706,-0.0143726039118969
0.0224963828811569,0.0123734663358717,-0.000846090891892914
0.0310957374998347,0.00920357950010786,0.0158440320536435
-0.00490502020046768,-0.000748544979874755,-0.00333296118920301
-0.0338453949509544,-0.00601811934543417,-0.00472996416826593
-0.0252897221376365,-0.00213456391869993,0.0102455837748957
-0.0199304848454486,-0.000360758956957863,-0.000950579773261184
-0.0310041300208592,-0.031880067468373,-0.0262183940963471
-0.0265663204163642,-0.0172874380232377,0.00818006747044087
-0.0304232305629275,-0.0196719834070018,-0.00756511955906242
-0.047109007391006,-0.00474770600121688,-0.0213348825465529
0.0172439402583858,0.00473283791765677,0.0296341163372144
-0.000824849445445475,-0.00245794880167649,0.00674567613287241
-0.0254532029233987,-0.00474922158598595,-0.00689418532890212
-0.0195402566605531,-0.00476662921090437,-0.0041961170426072
-0.0114634903597154,-0.00477038641594063,-0.027298355208325
0.0197910418025636,0.00475799361293827,0.0271002695169654
-0.0200001463083134,-0.00443382526848013,0.0124209878409369
-0.0285241623236131,-0.00473584698748725,0.00221681029633458
-0.0343037620666002,0.00389902583005347,-0.00839994816635553
-0.00577049582695777,0.00473352535370647,0.000518412732569418
-0.0411805940349068,-0.0364702745069205,-0.0292000623213918
0.00405462325883921,0.00881820071114431,0.00529520745201312
-0.00913390612666587,0.00202206421546419,-7.95522351202949e-05
0.00265626392639501,0.00167089200498738,0.00616563859407687
0.00399535055977784,0.00473764049411929,0.00413866420463099
-0.00816320400011677,-0.00782669961088001,5.02586890281376e-05
0.033243982890971,0.0370244269775362,0.0342255703629554
0.000779985960578822,-0.00162642392454176,0.00545337465059875
0.0110452622824813,-0.00037611731487347,0.021458191656799
0.00707572988277821,0.00124912858281168,0.0142512848471913
-0.00418623912616323,-0.00474199865694974,0.00970093244421327
-0.0118640066923635,-0.00534816360393037,-0.0102909622035934
-0.0225836138640273,-0.0256441870778873,-0.015674201697693
0.00455157882820706,0.00219298858943051,0.0113252733196206
0.00120164962207187,-0.00259828571679827,0.00338394175594298
0.0189446379709536,0.0147890169511481,0.0369526319668118
-0.000877305816594676,-0.00480794017195996,-0.000982114700804504
0.026320894485501,0.0356008704593565,0.0351718819589765
-0.0393838056962912,-0.0380793547503246,-0.0306677660448594
-0.0304747792426417,-0.0147613505958974,-0.0171135780126647
-0.00530694319604874,0.004762179584544,0.00433531428617506
0.0926994302664462,0.00475673469017768,0.0465084041306583
0.0290238067037523,0.00474351118988459,-0.00454267579372702
0.105507662013963,0.0946224991824288,0.0664363187740906
-0.011826117161153,-0.00699222309646191,-0.0385038000810459
0.0301351388466587,0.0122185632812315,-0.00403575260234834
0.00254601252525255,0.00474300691286111,0.0279986711478304
0.0137039617180861,0.0143975585288858,0.021931849311533
0.0253348056029903,-0.00477117123591198,-0.00149594903357964
0.000136243195892172,-0.00476404902786942,-0.00873633172546984
-0.0412807202368902,-0.00477109528059416,-0.0260326791476443
0.0367805013906646,0.0258672711937044,-0.00616069076201786
-0.0255083517186918,-0.0192410858043299,-0.00959806856467499
-0.0364982344732164,-0.00477206111132517,0.0211551346254349
-0.0171654372385313,-0.0217744817278976,-0.0236926625149869
-0.0258179289668746,-0.00474367004863957,-0.00749164069835151
-0.0574133865916511,-0.0047557422570057,-0.00502393439280746
-0.00680889800171369,0.00434443476954649,-0.00461280616289439
-0.0616623194852792,-0.0221122856231231,-0.0173814326498489
-0.0301931977118667,-0.0185065489198468,-0.0198693066057346
-0.0308575374557182,-0.00473942554106277,-0.0144670066091782
-0.0324928923494247,-0.00474519338185575,-0.0207375462879815
0.0246313992636551,0.0151216510729876,0.0210169858276721
-0.0235484008860797,-0.0222480285839972,-0.013806428941969
-0.0263990029343011,-0.0279123922855358,-0.0211791915907891
-0.00588006563310939,0.000518716692901378,0.00648867013425003
0.00173128945257672,0.002396390114693,-0.00505010370378256
0.0106425631713813,0.0139211016020481,0.00691888962354098
0.0247113263579242,-0.0164441882985399,0.00468554468652743
-0.0208499291049289,-0.00474668472753137,0.00357642898762062
-0.0109431446182516,0.00476383505490557,-0.00649516658592009
-0.00509436171325478,-0.00475921862056305,0.0216977506063971
-0.00709769630041129,-0.00239241764862136,-0.00460581473142435
0.00351260090839756,-0.00477242111109383,-0.015706038752237
-0.0145092552727994,-0.00805808757874926,-0.0137243722844219
0.0342084949938262,-0.00475803564575156,0.00404429322662464
-0.0091576755382814,-0.00476061847909803,0.00308789209432997
0.0222163048339143,0.0234776610144983,0.0458059165393814
0.0170513258040127,0.0178335515783109,0.0195658949065052
0.0102384402265699,0.0047645032518816,0.0147117744004409
0.0316902565632682,0.0191083172682975,0.0311888970675966
0.00895280847654251,0.00475367326640336,0.0103916734450782
0.0140125968973618,0.00471894331742778,0.0172519972380717
0.00537816176790501,0.00372444047572318,0.00774695539037579
-0.0107965177104673,-0.00506470220078503,-0.00769807907671632
0.00843574875255765,0.00476934723224709,0.0145096960759427
-0.00277966836255628,-0.000752327916883344,-0.000195122228683509
-0.0061436459169989,0.00567394272871785,-0.00340273993071533
0.0140402256485623,0.0273748300200543,0.0175164545532277
0.0244976628627208,0.00475413089291565,0.0219048599942962
-0.0170225995456426,0.00394072345311475,-0.011602015200508
-0.0225895525039312,-0.0131484902227806,-0.0323736002213794
-0.0182837958415993,-0.0170316210159112,-0.0306329915509384
-0.0334287126686558,-0.00477113064710954,-0.0332181495020452
-0.0168037169407947,-0.00297531666436601,-0.0184046730797905
0.0128670521391562,0.00476457515392298,-0.0195610962472785
0.00401444318543565,-0.00119715198633563,-0.0137200058854429
0.0149727857591223,0.00939406034310347,-0.00376376334786976
0.0194263908071808,-0.0047707308093819,-0.0048300258794276
0.0298549373094353,0.00476847625714993,0.0146229713987091
-0.0117801337485161,-0.00475838730144978,-0.0173170879855215
0.0246411681223406,0.0103527256529248,0.00905433604060035
0.0701662113132833,0.0820818436937863,0.0408986149207236
-0.0175885643542386,0.00198599322752102,-0.0214678664226394
0.0742713364850255,0.00477223444254504,0.00610183249666518
0.0419064029887942,0.00474339807405166,0.014966398666187
0.0659877904158616,0.00694262747129593,0.0284182738389344
0.0362880596486046,0.0212876101594378,-0.00149325852056326
0.00976321986116058,0.00672437024493794,0.00193137477248301
0.00281138600477865,0.00332809984630683,-0.00682094644243919
-0.00649875386265725,-0.0127014233865172,-0.0112918595668423
0.017870306350884,-0.0027916981662387,0.00796557586446189
0.010063825122936,0.0109513767890765,0.00624886878629105
0.0668686380677287,0.062820144458449,0.051745971009365
0.0157335538223787,0.00952796367211245,0.00638578069430007
0.0102736150637208,0.00263382647104682,-0.00358487734433532
0.0405230886592282,0.0452035425874495,0.024138298647845
0.0110398489603424,0.00475140986605527,0.00970082601743832
