"Lon","Lat","Elevation"
118.832774,-25.33093789,509.3567627
118.8372785,-25.33093789,510.5150834
118.841783,-25.33093789,510.613498
118.8462876,-25.33093789,510.5164734
118.8507921,-25.33093789,510.7200214
118.8552966,-25.33093789,511.7922941
118.8598011,-25.33093789,512.1562313
118.8643056,-25.33093789,513.0152819
118.8688101,-25.33093789,513.4436875
118.8733146,-25.33093789,514.8074592
118.8778191,-25.33093789,517.8555106
118.8823236,-25.33093789,520.8098427
118.8868281,-25.33093789,521.8795435
118.8913326,-25.33093789,523.329989
118.8958371,-25.33093789,521.5110328
118.9003416,-25.33093789,518.9723761
118.9048461,-25.33093789,518.8360384
118.9093506,-25.33093789,519.6679223
118.9138551,-25.33093789,520.6532278
118.9183596,-25.33093789,521.673533
118.9228641,-25.33093789,522.7890285
118.7201614,-25.32643339,525.6000404
118.7246659,-25.32643339,523.5584671
118.7291704,-25.32643339,517.8117265
118.7336749,-25.32643339,513.446489
118.7381794,-25.32643339,512.4546841
118.7426839,-25.32643339,512.4243655
118.7471885,-25.32643339,511.3423772
118.751693,-25.32643339,508.1335084
118.7561975,-25.32643339,505.4538095
118.760702,-25.32643339,502.6252023
118.7652065,-25.32643339,501.35127
118.769711,-25.32643339,501.120424
118.814756,-25.32643339,505.3068151
118.8192605,-25.32643339,506.7034009
118.823765,-25.32643339,507.2665329
118.8282695,-25.32643339,507.6305954
118.832774,-25.32643339,508.5707149
118.8372785,-25.32643339,509.3828142
118.841783,-25.32643339,509.1033074
118.8462876,-25.32643339,509.4761825
118.8507921,-25.32643339,509.5211684
118.8552966,-25.32643339,509.5512594
118.8598011,-25.32643339,509.9470837
118.8643056,-25.32643339,510.23699
118.8688101,-25.32643339,511.1807429
118.8733146,-25.32643339,512.6537642
118.8778191,-25.32643339,514.4883142
118.8823236,-25.32643339,516.7163562
118.8868281,-25.32643339,517.817286
118.8913326,-25.32643339,519.1461909
118.8958371,-25.32643339,518.9004744
118.9003416,-25.32643339,517.1768052
118.9048461,-25.32643339,517.5673953
118.9093506,-25.32643339,518.617362
118.9138551,-25.32643339,519.7748117
118.9183596,-25.32643339,520.2534022
118.9228641,-25.32643339,520.6998672
118.9273686,-25.32643339,521.8742409
118.9318731,-25.32643339,522.2772425
118.9363776,-25.32643339,522.0409793
118.9408821,-25.32643339,523.4830365
118.9453867,-25.32643339,525.6066066
118.6886299,-25.32192889,515.64348
118.6931344,-25.32192889,516.2016079
118.6976389,-25.32192889,515.7221086
118.7021434,-25.32192889,515.4622786
118.7066479,-25.32192889,517.8020877
118.7111524,-25.32192889,522.2828355
118.7156569,-25.32192889,529.6163275
118.7201614,-25.32192889,516.855238
118.7246659,-25.32192889,517.984279
118.7291704,-25.32192889,513.040311
118.7336749,-25.32192889,508.6972274
118.7381794,-25.32192889,507.3496237
118.7426839,-25.32192889,507.2574561
118.7471885,-25.32192889,507.6222379
118.751693,-25.32192889,506.2990668
118.7561975,-25.32192889,504.3416377
118.760702,-25.32192889,502.5431067
118.7652065,-25.32192889,501.1397083
118.769711,-25.32192889,500.3527863
118.7742155,-25.32192889,500.4396748
118.77872,-25.32192889,500.4324211
118.7832245,-25.32192889,500.739842
118.787729,-25.32192889,501.7161846
118.7922335,-25.32192889,504.7139214
118.796738,-25.32192889,506.8534302
118.8012425,-25.32192889,509.6077524
118.805747,-25.32192889,508.6494386
118.8102515,-25.32192889,506.9321776
118.814756,-25.32192889,505.5231543
118.8192605,-25.32192889,505.7634433
118.823765,-25.32192889,506.293277
118.8282695,-25.32192889,506.5141289
118.832774,-25.32192889,507.2723204
118.8372785,-25.32192889,507.3475205
118.841783,-25.32192889,507.3249612
118.8462876,-25.32192889,508.1854765
118.8507921,-25.32192889,508.485136
118.8552966,-25.32192889,508.2736478
118.8598011,-25.32192889,508.1203163
118.8643056,-25.32192889,508.1510336
118.8688101,-25.32192889,509.1293675
118.8733146,-25.32192889,510.6661471
118.8778191,-25.32192889,512.4071815
118.8823236,-25.32192889,513.8077073
118.8868281,-25.32192889,514.4223356
118.8913326,-25.32192889,515.4728093
118.8958371,-25.32192889,515.7138521
118.9003416,-25.32192889,514.9859602
118.9048461,-25.32192889,515.7962046
118.9093506,-25.32192889,516.8576354
118.9138551,-25.32192889,518.0401917
118.9183596,-25.32192889,518.8151018
118.9228641,-25.32192889,519.351183
118.9273686,-25.32192889,520.3503324
118.9318731,-25.32192889,520.1390158
118.9363776,-25.32192889,521.0100879
118.9408821,-25.32192889,522.6141062
118.9453867,-25.32192889,523.9813065
118.9498912,-25.32192889,524.421504
118.9543957,-25.32192889,525.052334
118.9589002,-25.32192889,526.6961397
118.4183596,-25.31742438,499.2842888
118.4228641,-25.31742438,495.6162011
118.4273686,-25.31742438,492.9183541
118.4318731,-25.31742438,491.8338575
118.4363776,-25.31742438,491.5210291
118.6706119,-25.31742438,507.6618438
118.6751164,-25.31742438,509.3868883
118.6796209,-25.31742438,509.945145
118.6841254,-25.31742438,513.8230324
118.6886299,-25.31742438,517.1917722
118.6931344,-25.31742438,516.5767741
