"SampleID","Lon","Lat","Cr_ppm","Cu_ppm"
1,117.6417298,-24.66430556,223,64
2,117.6561997,-24.58847566,91,47
3,117.6573999,-24.6264656,201,44
4,117.6579496,-24.55609574,417,47
5,117.6810095,-24.45020611,305,57
6,117.6888895,-24.42474619,81,53
7,117.6898296,-24.38760627,102,109
8,117.6946599,-24.58839564,239,40
9,117.6951797,-24.52097584,114,59
10,117.6966399,-24.55042576,153,86
11,117.6974703,-24.66667554,249,50
12,117.7019704,-24.62311565,44,25
13,117.7183093,-24.47669605,119,97
14,117.7252206,-24.79747564,8,7
15,117.7328793,-24.42864615,316,55
16,117.7337994,-24.38089628,206,47
17,117.7339512,-24.62375579,101,31
18,117.7349411,-24.55176596,133,34
19,117.7359109,-24.52409603,229,67
20,117.7366309,-24.78517567,6,8
21,117.7367512,-24.59032587,127,42
22,117.7383006,-24.84147576,108,51
23,117.7383511,-24.68684562,57,24
24,117.7406711,-24.65290565,186,42
25,117.7631293,-24.45494612,181,75
26,117.7679417,-24.62804586,27,19
27,117.7704011,-24.84274589,35,56
28,117.7725994,-24.39289627,100,68
29,117.7742993,-24.4223562,268,37
30,117.7768614,-24.81030588,36,95
31,117.7779012,-24.65593579,72,35
32,117.7779217,-24.58954597,46,21
33,117.7806498,-24.55157594,100,32
34,117.7816093,-24.51871599,151,21
35,117.7955008,-25.00624592,80,25
36,117.7983893,-24.47647613,70,19
37,117.8104893,-24.51419605,43,13
38,117.8139784,-24.58758581,48,28
39,117.8140094,-24.38104633,114,20
40,117.8144196,-24.62506581,29,16
41,117.8151005,-24.65523582,22,19
42,117.8153625,-24.69556586,42,13
43,117.8165513,-24.87409605,196,85
44,117.8170709,-24.91417617,42,37
45,117.8177218,-24.84020617,42,37
46,117.818637,-24.5522858,122,28
47,117.8201727,-24.80338608,245,44
48,117.8202808,-24.9375562,39,16
49,117.8215693,-24.42387625,78,24
50,117.8229409,-24.98912612,104,30
51,117.82633,-24.31113636,142,82
52,117.8395956,-24.51384584,33,16
53,117.8433213,-24.92272638,82,65
54,117.849268,-24.4236562,111,30
55,117.8503726,-24.83874638,102,34
56,117.8507311,-25.00702632,133,30
57,117.8518402,-24.6575859,34,34
58,117.8518868,-24.58737587,110,56
59,117.8523197,-24.3807163,43,16
60,117.8527292,-24.63162588,70,38
61,117.8545999,-24.35228631,193,67
62,117.8563523,-24.69530597,37,8
63,117.8571699,-24.32806635,125,85
64,117.8584919,-24.88092646,147,57
65,117.8585064,-24.55923584,42,16
66,117.8595208,-25.0448365,108,43
67,117.8605611,-24.98292658,99,32
68,117.8618342,-24.81024631,56,13
69,117.8652347,-24.4768159,65,19
70,117.8655913,-24.95869662,100,37
71,117.8758746,-24.422156,42,15
72,117.8802806,-25.07125665,298,43
73,117.8846656,-24.55796588,54,25
74,117.886001,-25.00450682,191,18
75,117.8867043,-24.47564591,60,14
76,117.88886,-24.27967643,99,135
77,117.8895655,-24.58901593,162,44
78,117.8901048,-24.52340589,55,24
79,117.8902798,-24.38959628,171,30
80,117.8918496,-24.65822597,41,30
81,117.892173,-24.73397616,52,20
82,117.8937982,-24.62209591,70,21
83,117.8948236,-24.77495633,317,53
84,117.8959319,-24.69892605,25,11
85,117.8971932,-24.83955658,66,26
86,117.8973015,-24.98145688,57,24
87,117.8975226,-24.87807661,252,53
88,117.8993022,-24.91038672,114,82
89,117.9013921,-24.94302693,113,31
90,117.90337,-24.32317639,151,74
91,117.9044999,-24.34785636,98,61
92,117.9056738,-24.81533654,82,78
93,117.9136113,-25.01503701,121,9.39999962
94,117.9219947,-24.43235626,53,62
95,117.922621,-25.04177696,130,25
96,117.9228555,-24.38796626,154,31
97,117.9269382,-24.62374585,82,43
98,117.9282871,-24.35024632,90,67
99,117.9302747,-24.52793619,29,10
100,117.9306243,-24.46945623,67,22
101,117.9310865,-24.58697606,64,22
102,117.9315752,-24.55515616,78,18
103,117.9330792,-24.65801595,51,40
104,117.9338224,-24.76541642,102,27
105,117.9342017,-24.73302627,77,28
106,117.934333,-24.84561672,54,31
107,117.9349004,-24.69561609,42,11
108,117.93504,-24.31153642,120,78
109,117.9364829,-24.80283657,66,80
110,117.9370522,-24.94782722,146,61
111,117.9377119,-24.97656713,88,27
112,117.93884,-24.27925641,56,169
113,117.9391027,-24.86995683,120,45
114,117.9469604,-25.08584721,304,45
115,117.9489122,-24.91250705,118,56
116,117.9508216,-25.00411709,140,15
117,117.9642899,-24.35685644,105,61
118,117.9678999,-24.30737641,49,63
119,117.9680822,-24.87595675,80,43
120,117.9684149,-24.59087609,173,22
121,117.9699955,-24.62235603,78,47
122,117.9703971,-24.65753606,125,25
123,117.9722323,-24.98134771,97,32
