"walk_minutes","distance_m","mean_delta","sd_delta","min_delta","max_delta","share_positive","share_negative","cor_access_accessibility"
3,250,0,0.7081,-3.7356,35.151,0.5956,0.4044,0.7493
5,417,0,0.754,-3.575,43.8811,0.5771,0.4229,0.7157
10,833,0,0.7144,-2.5532,20.4436,0.5682,0.4318,0.7448
15,1250,0,0.763,-2.5182,20.1476,0.5555,0.4445,0.7089
20,1667,0,0.7599,-2.2404,17.5094,0.5277,0.4723,0.7113
30,2500,0,0.8,-2.1053,10.1364,0.4789,0.5211,0.68
